Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Sarfraz Ahmed "," 						  26.11 					"," 						  119.28 					","28.627004"
"Sharjeel Khan "," 						  24.00 					"," 						  137.40 					","28.488"
"Ahmed Shehzad "," 						  26.71 					"," 						  115.78 					","28.817419"
"Umar Amin "," 						  15.77 					"," 						  115.44 					","16.987444"
"Mohammad Amir "," 						  7.33 					"," 						  77.19 					","6.4940135"
"Asad Shafiq "," 						  19.20 					"," 						  103.78 					","19.56288"
"Umar Akmal "," 						  26.82 					"," 						  122.90 					","29.89089"
"Haris Sohail "," 						  18.50 					"," 						  104.22 					","18.89035"
"Mohammad Rizwan "," 						  17.66 					"," 						  97.24 					","17.416292"
"Bilawal Bhatti "," 						  11.50 					"," 						  164.28 					","15.1961"
"Babar Azam "," 						  48.08 					"," 						  122.50 					","53.489"
"Mohammad Nawaz "," 						  7.00 					"," 						  77.77 					","6.22195"
"Abdur Rehman "," 						  11.00 					"," 						  75.86 					","9.6723"
"Abdul Razzaq "," 						  20.68 					"," 						  116.61 					","22.397474"
"Fawad Alam "," 						  17.63 					"," 						  114.79 					","18.9337385"
"Imran Nazir "," 						  21.73 					"," 						  135.13 					","25.5468745"
"Imran Farhat "," 						  10.85 					"," 						  108.57 					","11.3149225"
"Kamran Akmal "," 						  21.00 					"," 						  119.63 					","23.06115"
"Khurram Manzoor "," 						  3.66 					"," 						  40.74 					","2.575542"
"Mohammad Sami "," 						  21.00 					"," 						  70.00 					","17.85"
"Misbah-ul-Haq "," 						  37.52 					"," 						  110.20 					","39.43352"
"Mohammad Hafeez "," 						  22.71 					"," 						  113.79 					","24.2758545"
"Mohammad Salman "," 						  5.00 					"," 						  83.33 					","4.58325"
"Naved-ul-Hasan "," 						  18.00 					"," 						  112.50 					","19.125"
"Nasir Jamshed "," 						  21.35 					"," 						  113.43 					","22.7836525"
"Shahid Afridi "," 						  18.01 					"," 						  150.75 					","22.5800375"
"Shoaib Akhtar "," 						  7.00 					"," 						  131.25 					","8.09375"
"Shoaib Malik "," 						  29.37 					"," 						  117.63 					","31.9589655"
"Salman Butt "," 						  28.33 					"," 						  107.98 					","29.460367"
"Saeed Ajmal "," 						  8.27 					"," 						  105.81 					","8.5102435"
"Sohail Tanvir "," 						  11.52 					"," 						  119.51 					","12.643776"
"Umar Gul "," 						  9.16 					"," 						  105.76 					","9.423808"
"Wahab Riaz "," 						  12.60 					"," 						  117.75 					","13.71825"
"Mohammad Yousuf "," 						  16.66 					"," 						  116.27 					","18.015291"
"Younis Khan "," 						  22.10 					"," 						  121.42 					","24.46691"
"Yasir Arafat "," 						  13.14 					"," 						  116.45 					","14.220765"
"Zulqarnain Haider "," 						  7.66 					"," 						  76.66 					","6.766078"
"Hasan Ali "," 						  32.00 					"," 						  177.77 					","44.4432"
"Shadab Khan "," 						  16.00 					"," 						  152.38 					","20.1904"
