Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Usman Khawaja "," 						  26.77 					"," 						  132.41 					","31.1080785"
"David Warner "," 						  26.74 					"," 						  140.10 					","32.10137"
"John Hastings "," 						  11.50 					"," 						  124.32 					","12.8984"
"Matthew Wade "," 						  19.91 					"," 						  109.63 					","20.8686665"
"Steven Smith "," 						  21.55 					"," 						  122.44 					","23.96791"
"James Faulkner "," 						  14.45 					"," 						  115.21 					","15.5489225"
"Phillip Hughes "," 						  6.00 					"," 						  75.00 					","5.25"
"Mitchell Marsh "," 						  22.16 					"," 						  127.88 					","25.249104"
"Mitchell Starc "," 						  3.00 					"," 						  66.66 					","2.4999"
"Glenn Maxwell "," 						  34.58 					"," 						  165.68 					","45.936072"
"Nic Maddinson "," 						  19.00 					"," 						  172.72 					","25.9084"
"Nathan Bracken "," 						  5.00 					"," 						  68.18 					","4.2045"
"George Bailey "," 						  24.89 					"," 						  136.70 					","29.457315"
"Michael Clarke "," 						  21.21 					"," 						  103.17 					","21.5461785"
"Pat Cummins "," 						  4.00 					"," 						  82.35 					","3.647"
"Xavier Doherty "," 						  18.00 					"," 						  105.88 					","18.5292"
"Ashton Agar "," 						  5.50 					"," 						  84.61 					","5.076775"
"Callum Ferguson "," 						  5.33 					"," 						  84.21 					","4.9091965"
"Adam Gilchrist "," 						  22.66 					"," 						  141.66 					","27.380078"
"Jason Gillespie "," 						  24.00 					"," 						  133.33 					","27.9996"
"Brad Haddin "," 						  17.47 					"," 						  114.52 					","18.738322"
"Nathan Hauritz "," 						  3.00 					"," 						  60.00 					","2.4"
"Matthew Hayden "," 						  51.33 					"," 						  143.92 					","62.602068"
"Brad Hodge "," 						  26.14 					"," 						  127.08 					","29.679356"
"Brad Hogg "," 						  13.75 					"," 						  141.02 					","16.570125"
"Michael Hussey "," 						  37.94 					"," 						  136.29 					","44.824213"
"Ben Hilfenhaus "," 						  1.00 					"," 						  20.00 					","0.6"
"Moises Henriques "," 						  31.80 					"," 						  130.32 					","36.62088"
"Mitchell Johnson "," 						  10.90 					"," 						  114.73 					","11.702785"
"Simon Katich "," 						  34.50 					"," 						  146.80 					","42.573"
"Brett Lee "," 						  16.83 					"," 						  142.25 					","20.3853375"
"Damien Martyn "," 						  30.00 					"," 						  162.16 					","39.324"
"Glenn McGrath "," 						  5.00 					"," 						  41.66 					","3.5415"
"Shaun Marsh "," 						  18.21 					"," 						  102.82 					","18.466761"
"Clint McKay "," 						  9.50 					"," 						  86.36 					","8.8521"
"Marcus North "," 						  20.00 					"," 						  95.23 					","19.523"
"Peter Nevill "," 						  25.00 					"," 						  227.27 					","40.90875"
"Steve O'Keefe "," 						  6.40 					"," 						  123.07 					","7.13824"
"Ricky Ponting "," 						  28.64 					"," 						  132.78 					","33.334096"
"Tim Paine "," 						  10.25 					"," 						  106.49 					","10.5826125"
"Andrew Symonds "," 						  48.14 					"," 						  169.34 					","64.830138"
"Shaun Tait "," 						  2.75 					"," 						  73.33 					","2.3832875"
"Adam Voges "," 						  46.33 					"," 						  121.92 					","51.407768"
"Shane Watson "," 						  29.24 					"," 						  145.32 					","35.865784"
"Cameron White "," 						  32.80 					"," 						  132.97 					","38.20708"
