Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Shehan Madushanka "," 						  7.00 					"," 						  116.66 					","7.34986"
"Chamara Kapugedera "," 						  21.09 					"," 						  72.04 					","19.3209708"
"Sachith Pathirana "," 						  25.53 					"," 						  86.68 					","24.5098212"
"Milinda Siriwardana "," 						  23.31 					"," 						  98.46 					","23.2023078"
"Dimuth Karunaratne "," 						  15.83 					"," 						  68.84 					","14.3502116"
"Thisara Perera "," 						  18.22 					"," 						  111.14 					","18.8289124"
"Ashan Priyanjan "," 						  23.33 					"," 						  80.45 					","21.9616955"
"Shaminda Eranga "," 						  11.33 					"," 						  53.12 					","9.7365488"
"Ajantha Mendis "," 						  8.17 					"," 						  71.48 					","7.4709748"
"Seekkuge Prasanna "," 						  12.65 					"," 						  94.84 					","12.454178"
"Lahiru Gamage "," 						  2.00 					"," 						  14.81 					","1.48886"
"Sachithra Senanayake "," 						  13.18 					"," 						  93.24 					","12.9127096"
"Dinesh Chandimal "," 						  32.69 					"," 						  73.82 					","30.1225274"
"Angelo Perera "," 						  4.00 					"," 						  38.09 					","3.25708"
"Kusal Perera "," 						  28.55 					"," 						  89.74 					","27.671231"
"Lahiru Thirimanne "," 						  34.65 					"," 						  71.33 					","31.6697535"
"Dilshan Munaweera "," 						  7.50 					"," 						  51.72 					","6.4137"
"Nuwan Pradeep "," 						  4.50 					"," 						  34.61 					","3.617235"
"Kithuruwan Vithanage "," 						  15.00 					"," 						  83.33 					","14.24985"
"Danushka Gunathilaka "," 						  30.87 					"," 						  85.90 					","29.564199"
"Chaturanga de Silva "," 						  15.66 					"," 						  83.92 					","14.9045616"
"Asela Gunaratne "," 						  29.36 					"," 						  80.17 					","27.6133736"
"Jeffrey Vandersay "," 						  11.83 					"," 						  42.77 					","9.7989073"
"Shehan Jayasuriya "," 						  17.00 					"," 						  57.95 					","14.85545"
"Lahiru Madushanka "," 						  4.66 					"," 						  53.84 					","4.0146832"
"Lakshan Sandakan "," 						  2.75 					"," 						  30.55 					","2.1770375"
"Amila Aponso "," 						  6.00 					"," 						  50.00 					","5.1"
"Niroshan Dickwella "," 						  32.54 					"," 						  91.71 					","31.7307302"
"Dasun Shanaka "," 						  19.83 					"," 						  114.42 					","20.6878458"
"Vishwa Fernando "," 						  13.50 					"," 						  61.36 					","11.93508"
"Dhananjaya de Silva "," 						  23.92 					"," 						  74.27 					","22.0736152"
"Tharindu Kaushal "," 						  0.00 					"," 						  0.00 					","0.0"
"Kaushik Amalean "," 						  7.50 					"," 						  57.69 					","6.548025"
"Don Anurasiri "," 						  10.33 					"," 						  43.35 					","8.5744165"
"Russel Arnold "," 						  35.26 					"," 						  72.57 					","32.3584546"
"Marvan Atapattu "," 						  37.57 					"," 						  67.72 					","33.9317212"
"Malinga Bandara "," 						  12.30 					"," 						  71.42 					","11.245398"
"Hemantha Boteju "," 						  3.00 					"," 						  27.27 					","2.34543"
"Niroshan Bandaratilleke "," 						  0.00 					"," 						  0.00 					","0.0"
"Upul Chandana "," 						  17.30 					"," 						  72.99 					","15.898181"
"Pubudu Dassanayake "," 						  10.62 					"," 						  59.85 					","9.340821"
"Guy de Alwis "," 						  21.10 					"," 						  78.32 					","19.727656"
"Ashantha de Mel "," 						  14.56 					"," 						  78.31 					","13.6125808"
"Indika de Saram "," 						  16.63 					"," 						  67.77 					","15.0220453"
"Ashley de Silva "," 						  6.00 					"," 						  50.00 					","5.1"
"Stanley De Silva "," 						  10.00 					"," 						  28.57 					","7.8571"
"Somachandra De Silva "," 						  19.52 					"," 						  53.69 					","16.8080864"
"Asoka de Silva "," 						  9.85 					"," 						  57.26 					","8.587033"
"Granville De Silva "," 						  9.00 					"," 						  50.00 					","7.65"
"Ajit de Silva "," 						  4.50 					"," 						  27.27 					","3.518145"
