Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Ashok Dinda "," 						  4.20 					"," 						  58.33 					","3.674958"
"Ravindra Jadeja "," 						  31.37 					"," 						  85.29 					","29.9856419"
"Ishant Sharma "," 						  4.80 					"," 						  35.46 					","3.870624"
"Murali Vijay "," 						  21.18 					"," 						  66.99 					","19.0825446"
"Virat Kohli "," 						  58.10 					"," 						  92.14 					","56.730002"
"Syed Abid Ali "," 						  31.00 					"," 						  70.45 					","28.25185"
"Ajit Agarkar "," 						  14.58 					"," 						  80.62 					","13.7323188"
"Mohinder Amarnath "," 						  30.53 					"," 						  57.70 					","26.655743"
"Surinder Amarnath "," 						  33.33 					"," 						  84.03 					","31.7331597"
"Pravin Amre "," 						  20.52 					"," 						  64.20 					","18.316152"
"Salil Ankola "," 						  3.77 					"," 						  80.95 					","3.5545445"
"Arshad Ayub "," 						  11.60 					"," 						  71.60 					","10.61168"
"Bharat Arun "," 						  10.50 					"," 						  65.62 					","9.41703"
"Arun Lal "," 						  9.38 					"," 						  52.58 					","8.0456012"
"Kirti Azad "," 						  14.15 					"," 						  67.25 					","12.7597625"
"Mohammad Azharuddin "," 						  36.92 					"," 						  74.02 					","34.0424552"
"Ravichandran Ashwin "," 						  16.07 					"," 						  86.98 					","15.4423058"
"Hemang Badani "," 						  33.34 					"," 						  73.47 					","30.6864694"
"S Badrinath "," 						  15.80 					"," 						  45.93 					","13.237082"
"Sairaj Bahutule "," 						  7.66 					"," 						  79.31 					","7.1845438"
"Lakshmipathy Balaji "," 						  12.00 					"," 						  78.94 					","11.24184"
"Subroto Banerjee "," 						  24.50 					"," 						  116.66 					","25.72451"
"Atul Bedade "," 						  22.57 					"," 						  86.33 					","21.6444043"
"Bishan Bedi "," 						  6.20 					"," 						  44.28 					","5.163608"
"Bhupinder Singh "," 						  6.00 					"," 						  46.15 					","5.0307"
"Roger Binny "," 						  16.12 					"," 						  60.13 					","14.1918868"
"Gopal Bose "," 						  13.00 					"," 						  72.22 					","11.91658"
"Stuart Binny "," 						  28.75 					"," 						  93.49 					","28.1885125"
"Sanjay Bangar "," 						  13.84 					"," 						  75.31 					","12.8148712"
"Rahul Sharma "," 						  1.00 					"," 						  50.00 					","0.85"
"V.B.Chandrasekhar "," 						  12.57 					"," 						  54.32 					","10.8474072"
"Utpal Chatterjee "," 						  6.00 					"," 						  20.00 					","4.56"
"Chetan Chauhan "," 						  21.85 					"," 						  50.83 					","18.6269065"
"Rajesh Chauhan "," 						  10.15 					"," 						  77.19 					","9.4554355"
"Nikhil Chopra "," 						  15.50 					"," 						  62.24 					","13.74416"
"Ajinkya Rahane "," 						  35.26 					"," 						  78.63 					","32.9994814"
"Vijay Dahiya "," 						  16.61 					"," 						  80.89 					","15.6577487"
"Wriddhiman Saha "," 						  13.66 					"," 						  73.21 					","12.5621458"
"Shiv Sunder Das "," 						  13.00 					"," 						  50.64 					","11.07496"
"Pankaj Dharmani "," 						  8.00 					"," 						  100.00 					","8.0"
"MS Dhoni "," 						  51.37 					"," 						  88.40 					","49.582324"
"Sameer Dighe "," 						  23.27 					"," 						  60.80 					","20.533448"
"Dilip Doshi "," 						  3.00 					"," 						  45.00 					","2.505"
"Rahul Dravid "," 						  39.16 					"," 						  71.24 					","35.7812752"
"Deep Dasgupta "," 						  17.00 					"," 						  62.19 					","15.07169"
"Shikhar Dhawan "," 						  45.90 					"," 						  93.44 					","44.996688"
"Farokh Engineer "," 						  38.00 					"," 						  58.46 					","33.26444"
