Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Richmond Mutumbami "," 						  15.72 					"," 						  102.97 					","15.953442"
"Tendai Chisoro "," 						  17.00 					"," 						  100.00 					","17.0"
"Timycen Maruma "," 						  14.33 					"," 						  103.61 					","14.5886565"
"Solomon Mire "," 						  18.00 					"," 						  138.46 					","21.4614"
"Regis Chakabva "," 						  3.60 					"," 						  45.00 					","2.61"
"Sikandar Raza "," 						  14.14 					"," 						  107.00 					","14.6349"
"Kyle Jarvis "," 						  2.50 					"," 						  40.00 					","1.75"
"Peter Moor "," 						  22.33 					"," 						  111.66 					","23.631839"
"Shingi Masakadza "," 						  4.50 					"," 						  75.00 					","3.9375"
"Natsai M'shangwe "," 						  5.00 					"," 						  125.00 					","5.625"
"Donald Tiripano "," 						  7.50 					"," 						  68.18 					","6.30675"
"Tendai Chatara "," 						  7.50 					"," 						  88.23 					","7.058625"
"Ryan Burl "," 						  19.00 					"," 						  86.36 					","17.7042"
"Andy Blignaut "," 						  8.00 					"," 						  100.00 					","8.0"
"Gary Brent "," 						  2.00 					"," 						  40.00 					","1.4"
"Charles Coventry "," 						  12.70 					"," 						  141.11 					","15.310485"
"Elton Chigumbura "," 						  20.76 					"," 						  145.30 					","25.46214"
"Graeme Cremer "," 						  5.23 					"," 						  66.66 					","4.358159"
"Chamu Chibhabha "," 						  20.68 					"," 						  108.69 					","21.578546"
"Keith Dabengwa "," 						  11.50 					"," 						  115.00 					","12.3625"
"Craig Ervine "," 						  15.26 					"," 						  79.79 					","13.717977"
"Greg Lamb "," 						  16.00 					"," 						  59.25 					","12.74"
"Hamilton Masakadza "," 						  29.20 					"," 						  118.41 					","31.88786"
"Stuart Matsikenyeri "," 						  7.60 					"," 						  92.68 					","7.32184"
"Chris Mpofu "," 						  6.50 					"," 						  108.33 					","6.770725"
"Forster Mutizwa "," 						  12.66 					"," 						  105.55 					","13.011315"
"Mluleki Nkala "," 						  1.00 					"," 						  33.33 					","0.66665"
"Ray Price "," 						  3.00 					"," 						  53.57 					","2.30355"
"Tinashe Panyangara "," 						  23.00 					"," 						  135.29 					","27.05835"
"Vusi Sibanda "," 						  20.44 					"," 						  101.59 					","20.602498"
"Tatenda Taibu "," 						  28.77 					"," 						  100.77 					","28.8807645"
"Brendan Taylor "," 						  26.60 					"," 						  120.71 					","29.35443"
"Prosper Utseya "," 						  7.83 					"," 						  81.73 					","7.1147295"
"Sean Williams "," 						  22.77 					"," 						  122.49 					","25.3304865"
"Malcolm Waller "," 						  27.27 					"," 						  137.29 					","32.3544915"
