Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Sunil Narine "," 						  12.25 					"," 						  126.72 					","13.8866"
"Kieran Powell "," 						  12.00 					"," 						  85.71 					","11.1426"
"Adrian Barath "," 						  11.50 					"," 						  58.97 					","9.140775"
"Andre Russell "," 						  14.37 					"," 						  129.21 					","16.4687385"
"Darren Bravo "," 						  21.36 					"," 						  111.90 					","22.63092"
"Chadwick Walton "," 						  12.30 					"," 						  112.67 					","13.079205"
"Devendra Bishoo "," 						  6.00 					"," 						  100.00 					","6.0"
"Jason Holder "," 						  14.00 					"," 						  113.51 					","14.9457"
"Carlos Brathwaite "," 						  21.00 					"," 						  135.08 					","24.6834"
"Sheldon Cottrell "," 						  0.00 					"," 						  0.00 					","0.0"
"Sulieman Benn "," 						  12.33 					"," 						  88.09 					","11.5957485"
"Dwayne Bravo "," 						  24.29 					"," 						  116.41 					","26.2829945"
"Carlton Baugh "," 						  3.33 					"," 						  83.33 					","3.0524445"
"Shivnarine Chanderpaul "," 						  20.17 					"," 						  98.84 					","20.053014"
"Narsingh Deonarine "," 						  11.00 					"," 						  103.77 					","11.20735"
"Travis Dowlin "," 						  68.00 					"," 						  98.55 					","67.507"
"Fidel Edwards "," 						  5.00 					"," 						  111.11 					","5.27775"
"Daren Ganga "," 						  26.00 					"," 						  83.87 					","23.9031"
"Chris Gayle "," 						  33.80 					"," 						  145.11 					","41.42359"
"Wavell Hinds "," 						  7.50 					"," 						  73.17 					","6.493875"
"Rawl Lewis "," 						  0.00 					"," 						  0.00 					","0.0"
"Runako Morton "," 						  16.00 					"," 						  93.20 					","15.456"
"Nikita Miller "," 						  43.00 					"," 						  91.48 					","41.1682"
"Xavier Marshall "," 						  16.00 					"," 						  124.67 					","17.9736"
"Brenton Parchment "," 						  10.00 					"," 						  166.66 					","13.333"
"Floyd Reifer "," 						  22.00 					"," 						  110.00 					","23.1"
"Dale Richards "," 						  0.00 					"," 						  0.00 					","0.0"
"Ravi Rampaul "," 						  12.00 					"," 						  57.14 					","9.4284"
"Denesh Ramdin "," 						  16.19 					"," 						  115.65 					","17.4568675"
"Devon Smith "," 						  33.83 					"," 						  126.08 					","38.241432"
"Ramnaresh Sarwan "," 						  22.92 					"," 						  104.19 					","23.400174"
"Marlon Samuels "," 						  30.60 					"," 						  115.21 					","32.92713"
"Darren Sammy "," 						  17.26 					"," 						  147.48 					","21.357524"
"Lendl Simmons "," 						  23.86 					"," 						  116.73 					","25.855889"
"Dwayne Smith "," 						  18.18 					"," 						  122.78 					","20.250702"
"Jerome Taylor "," 						  13.11 					"," 						  128.26 					","14.962443"
"Shai Hope "," 						  15.00 					"," 						  88.23 					","14.11725"
"Shimron Hetmyer "," 						  7.00 					"," 						  233.33 					","11.66655"
