Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Usman Khawaja "," 						  31.26 					"," 						  82.28 					","29.5982184"
"David Warner "," 						  43.43 					"," 						  96.55 					","42.9804995"
"John Hastings "," 						  27.10 					"," 						  99.26 					","27.039838"
"Matthew Wade "," 						  25.75 					"," 						  82.11 					","24.3679975"
"Ben Cutting "," 						  26.50 					"," 						  79.10 					","24.83845"
"Peter Forrest "," 						  26.28 					"," 						  65.59 					","23.5671156"
"Nathan Coulter-Nile "," 						  9.55 					"," 						  68.25 					","8.6403625"
"Steven Smith "," 						  41.84 					"," 						  86.35 					","40.126652"
"James Faulkner "," 						  34.40 					"," 						  104.24 					","34.837568"
"Kane Richardson "," 						  10.00 					"," 						  115.38 					","10.4614"
"Nathan Lyon "," 						  23.00 					"," 						  100.00 					","23.0"
"Phillip Hughes "," 						  35.91 					"," 						  75.09 					","33.2264457"
"Mitchell Marsh "," 						  35.70 					"," 						  93.08 					","34.958868"
"James Pattinson "," 						  10.50 					"," 						  52.50 					","9.00375"
"Josh Hazlewood "," 						  10.50 					"," 						  58.33 					","9.187395"
"Mitchell Starc "," 						  13.78 					"," 						  89.11 					","13.3298074"
"Marcus Stoinis "," 						  62.88 					"," 						  104.04 					","63.6421056"
"Glenn Maxwell "," 						  32.32 					"," 						  123.08 					","34.5578368"
"Alex Carey "," 						  27.00 					"," 						  112.50 					","28.0125"
"Joe Burns "," 						  24.33 					"," 						  79.34 					","22.8220266"
"Chris Lynn "," 						  16.00 					"," 						  133.33 					","17.59984"
"Peter Handscomb "," 						  21.28 					"," 						  100.00 					","21.28"
"Adam Zampa "," 						  6.70 					"," 						  59.29 					","5.881729"
"Terry Alderman "," 						  2.66 					"," 						  32.98 					","2.1251804"
"Jo Angel "," 						  0.00 					"," 						  0.00 					","0.0"
"Sean Abbott "," 						  3.00 					"," 						  42.85 					","2.48565"
"Murray Bennett "," 						  3.00 					"," 						  42.85 					","2.48565"
"Michael Bevan "," 						  53.58 					"," 						  74.16 					","49.4264784"
"Andy Bichel "," 						  20.47 					"," 						  78.50 					","19.149685"
"Glenn Bishop "," 						  6.50 					"," 						  29.54 					","5.12603"
"Greg Blewett "," 						  20.40 					"," 						  61.97 					","18.072564"
"David Boon "," 						  37.04 					"," 						  65.13 					","33.1652456"
"Allan Border "," 						  30.62 					"," 						  71.42 					","27.9946412"
"Nathan Bracken "," 						  11.70 					"," 						  70.56 					","10.666656"
"Ray Bright "," 						  16.50 					"," 						  54.09 					","14.227455"
"Joe Mennie "," 						  0.50 					"," 						  25.00 					","0.3875"
"George Bailey "," 						  40.58 					"," 						  83.51 					","38.5725074"
"Scott Boland "," 						  3.00 					"," 						  40.90 					","2.4681"
"Doug Bollinger "," 						  8.33 					"," 						  92.59 					","8.1448241"
"Ian Callen "," 						  6.00 					"," 						  46.15 					","5.0307"
"Greg Campbell "," 						  3.00 					"," 						  31.57 					","2.38413"
"Ryan Campbell "," 						  27.00 					"," 						  77.14 					","25.14834"
"Phil Carlson "," 						  5.50 					"," 						  36.66 					","4.45489"
"Greg Chappell "," 						  40.18 					"," 						  75.70 					","37.250878"
"Ian Chappell "," 						  48.07 					"," 						  77.00 					","44.75317"
"Trevor Chappell "," 						  17.61 					"," 						  62.73 					","15.6410259"
"Michael Clarke "," 						  44.58 					"," 						  78.98 					","41.7687852"
"Stuart Clark "," 						  13.80 					"," 						  78.40 					","12.90576"
"Andrew Tye "," 						  11.50 					"," 						  135.29 					","12.717505"
"Gary Cosier "," 						  30.80 					"," 						  92.77 					","30.131948"
"Kepler Wessels "," 						  34.35 					"," 						  55.30 					","29.743665"
"Mark Cosgrove "," 						  37.33 					"," 						  96.55 					","36.9436345"
"Daniel Christian "," 						  21.00 					"," 						  88.92 					","20.30196"
"Adam Dale "," 						  19.50 					"," 						  57.35 					","17.004975"
"Pat Cummins "," 						  12.00 					"," 						  72.00 					","10.992"
"Rick Darling "," 						  21.35 					"," 						  53.46 					","18.369113"
"Ian Davis "," 						  6.00 					"," 						  34.28 					","4.81704"
"Simon Davis "," 						  5.00 					"," 						  58.82 					","4.3823"
