Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Todd Astle "," 						  1.00 					"," 						  20.00 					","0.6"
"Martin Guptill "," 						  34.40 					"," 						  132.88 					","40.05536"
"Colin Munro "," 						  33.51 					"," 						  163.59 					","44.1645045"
"Tim Southee "," 						  9.07 					"," 						  136.55 					","10.7275425"
"Corey Anderson "," 						  22.73 					"," 						  137.57 					","26.9998305"
"Kane Williamson "," 						  31.33 					"," 						  120.95 					","34.6118175"
"Trent Boult "," 						  3.50 					"," 						  58.33 					","2.770775"
"Hamish Rutherford "," 						  25.16 					"," 						  145.19 					","30.844902"
"James Neesham "," 						  13.55 					"," 						  131.18 					","15.662445"
"Nathan Astle "," 						  24.66 					"," 						  110.44 					","25.947252"
"Andre Adams "," 						  13.00 					"," 						  108.33 					","13.54145"
"Doug Bracewell "," 						  19.25 					"," 						  135.08 					","22.62645"
"Shane Bond "," 						  4.20 					"," 						  100.00 					","4.2"
"Ian Butler "," 						  5.00 					"," 						  50.00 					","3.75"
"Neil Broom "," 						  12.16 					"," 						  107.35 					","12.60688"
"Chris Cairns "," 						  1.50 					"," 						  23.07 					","0.923025"
"Stephen Fleming "," 						  22.00 					"," 						  129.41 					","25.2351"
"James Franklin "," 						  20.13 					"," 						  118.41 					","21.9829665"
"Peter Fulton "," 						  11.54 					"," 						  90.71 					","11.003967"
"Daniel Flynn "," 						  11.80 					"," 						  115.68 					","12.72512"
"Mark Gillespie "," 						  10.50 					"," 						  72.41 					","9.051525"
"Gareth Hopkins "," 						  10.75 					"," 						  121.12 					","11.8852"
"Jamie How "," 						  11.20 					"," 						  83.58 					","10.28048"
"Hamish Marshall "," 						  4.00 					"," 						  85.71 					","3.7142"
"James Marshall "," 						  7.00 					"," 						  93.33 					","6.76655"
"Michael Mason "," 						  2.00 					"," 						  100.00 					","2.0"
"Craig McMillan "," 						  31.16 					"," 						  159.82 					","40.479956"
"Brendon McCullum "," 						  35.66 					"," 						  136.21 					","42.116243"
"Kyle Mills "," 						  11.41 					"," 						  111.38 					","12.059229"
"Andy McKay "," 						  0.00 					"," 						  0.00 					","0.0"
"Rob Nicol "," 						  17.21 					"," 						  110.47 					","18.1109435"
"Jacob Oram "," 						  20.60 					"," 						  139.82 					","24.70146"
"Jeetan Patel "," 						  3.00 					"," 						  64.28 					","2.4642"
"Aaron Redmond "," 						  21.00 					"," 						  150.00 					","26.25"
"Jesse Ryder "," 						  22.85 					"," 						  127.65 					","26.0090125"
"Mathew Sinclair "," 						  0.00 					"," 						  0.00 					","0.0"
"Scott Styris "," 						  21.40 					"," 						  119.66 					","23.50362"
"Daryl Tuffey "," 						  5.00 					"," 						  100.00 					","5.0"
"Ross Taylor "," 						  25.26 					"," 						  121.04 					","27.917352"
"Daniel Vettori "," 						  12.81 					"," 						  107.89 					","13.3153545"
"Lou Vincent "," 						  19.33 					"," 						  100.00 					","19.33"
"Tom Latham "," 						  16.30 					"," 						  103.82 					","16.61133"
"BJ Watling "," 						  9.50 					"," 						  65.51 					","7.861725"
"Peter Ingram "," 						  11.00 					"," 						  62.85 					","8.95675"
"Tom Blundell "," 						  17.00 					"," 						  80.95 					","15.38075"
"Dean Brownlie "," 						  1.20 					"," 						  33.33 					","0.79998"
"Grant Elliott "," 						  15.54 					"," 						  108.91 					","16.232307"
"Mitchell Santner "," 						  15.45 					"," 						  128.78 					","17.673255"
"Matt Henry "," 						  10.00 					"," 						  200.00 					","15.0"
"Henry Nicholls "," 						  5.00 					"," 						  68.18 					","4.2045"
"Colin de Grandhomme "," 						  16.20 					"," 						  151.40 					","20.3634"
"Ish Sodhi "," 						  13.00 					"," 						  97.50 					","12.8375"
"Luke Ronchi "," 						  18.89 					"," 						  141.33 					","22.7936185"
