Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"David Wiese "," 						  20.40 					"," 						  88.69 					","19.707828"
"Rusty Theron "," 						  5.00 					"," 						  100.00 					","5.0"
"Dean Elgar "," 						  24.50 					"," 						  61.25 					","21.651875"
"Wayne Parnell "," 						  21.16 					"," 						  78.39 					","19.7881972"
"Kyle Abbott "," 						  8.44 					"," 						  60.31 					","7.4350492"
"Khaya Zondo "," 						  32.00 					"," 						  61.14 					","28.26944"
"Rilee Rossouw "," 						  38.71 					"," 						  94.36 					","38.0550268"
"David Miller "," 						  37.92 					"," 						  101.13 					","38.0485488"
"Dwaine Pretorius "," 						  17.20 					"," 						  107.50 					","17.587"
"Temba Bavuma "," 						  80.50 					"," 						  94.70 					","79.22005"
"Quinton de Kock "," 						  45.41 					"," 						  93.98 					","44.5898954"
"Tabraiz Shamsi "," 						  0.00 					"," 						  0.00 					","0.0"
"Imran Tahir "," 						  8.00 					"," 						  70.32 					","7.28768"
"Heinrich Klaasen "," 						  36.66 					"," 						  90.90 					","35.659182"
"Hashim Amla "," 						  50.23 					"," 						  88.90 					","48.557341"
"Paul Adams "," 						  16.50 					"," 						  53.22 					","14.18439"
"Chris Morris "," 						  19.65 					"," 						  97.27 					","19.4890665"
"Adam Bacher "," 						  20.76 					"," 						  57.56 					","18.1168368"
"Dale Benkenstein "," 						  17.94 					"," 						  65.87 					","16.1031234"
"Gulam Bodi "," 						  41.50 					"," 						  62.87 					","36.877315"
"Nicky Boje "," 						  26.67 					"," 						  88.70 					","25.765887"
"Loots Bosman "," 						  25.08 					"," 						  98.68 					","24.9806832"
"Mark Boucher "," 						  28.57 					"," 						  84.76 					","27.2637796"
"Rudi Bryson "," 						  32.00 					"," 						  128.00 					","34.688"
"Johan Botha "," 						  19.03 					"," 						  85.77 					","18.2176093"
"Farhaan Behardien "," 						  30.68 					"," 						  97.90 					","30.486716"
"Dave Callaghan "," 						  25.94 					"," 						  67.90 					","23.441978"
"Jimmy Cook "," 						  16.75 					"," 						  56.77 					","14.5776925"
"Hansie Cronje "," 						  38.64 					"," 						  76.47 					","35.9124024"
"Derek Crookes "," 						  14.80 					"," 						  71.84 					","13.549696"
