Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Asad Ali "," 						  6.50 					"," 						  81.25 					","6.134375"
"Imad Wasim "," 						  35.83 					"," 						  98.62 					","35.6816638"
"Sarfraz Ahmed "," 						  33.90 					"," 						  86.92 					","32.569764"
"Sharjeel Khan "," 						  32.48 					"," 						  113.40 					","33.785696"
"Mohammad Talha "," 						  0.00 					"," 						  0.00 					","0.0"
"Anwar Ali "," 						  29.18 					"," 						  87.46 					","28.0822484"
"Ahmed Shehzad "," 						  32.56 					"," 						  72.08 					","29.8327744"
"Junaid Khan "," 						  4.61 					"," 						  55.04 					","3.9882032"
"Usman Salahuddin "," 						  6.50 					"," 						  46.42 					","5.45519"
"Umar Amin "," 						  18.06 					"," 						  69.13 					","16.3874634"
"Mohammad Amir "," 						  19.29 					"," 						  83.67 					","18.3449829"
"Asad Shafiq "," 						  24.74 					"," 						  67.50 					","22.32785"
"Saad Nasim "," 						  49.50 					"," 						  79.83 					","46.504755"
"Sohail Khan "," 						  5.00 					"," 						  49.01 					","4.23515"
"Umar Akmal "," 						  34.59 					"," 						  85.94 					","33.1309938"
"Haris Sohail "," 						  44.35 					"," 						  81.00 					","41.82205"
"Rahat Ali "," 						  2.66 					"," 						  21.62 					","2.0345276"
"Mohammad Rizwan "," 						  28.75 					"," 						  89.84 					","27.8737"
"Bilawal Bhatti "," 						  14.83 					"," 						  118.66 					","15.6601834"
"Raza Hasan "," 						  0.00 					"," 						  0.00 					","0.0"
"Babar Azam "," 						  51.11 					"," 						  84.26 					","48.6965858"
"Mohammad Nawaz "," 						  23.71 					"," 						  97.64 					","23.5421332"
"Zafar Gohar "," 						  15.00 					"," 						  100.00 					","15.0"
"Shahzaib Hasan "," 						  33.33 					"," 						  88.49 					","32.1791151"
"Hammad Azam "," 						  16.00 					"," 						  61.06 					","14.13088"
"Aamer Hanif "," 						  44.50 					"," 						  69.53 					","40.432255"
"Aamer Malik "," 						  25.27 					"," 						  56.21 					","21.9502801"
"Aamer Nazir "," 						  13.00 					"," 						  65.00 					","11.635"
"Aamer Sohail "," 						  31.86 					"," 						  65.50 					","28.56249"
"Aaqib Javed "," 						  10.68 					"," 						  58.55 					","9.351942"
"Abdul Qadir "," 						  15.26 					"," 						  75.50 					","14.13839"
"Akhtar Sarfraz "," 						  16.50 					"," 						  66.66 					","14.84967"
"Akram Raza "," 						  17.54 					"," 						  62.25 					","15.553595"
"Arshad Khan "," 						  12.09 					"," 						  61.29 					","10.6859883"
"Arshad Pervez "," 						  5.50 					"," 						  23.40 					","4.2361"
"Ashraf Ali "," 						  17.25 					"," 						  51.11 					","14.7199425"
"Asif Iqbal "," 						  55.00 					"," 						  70.81 					","50.18365"
"Asif Mahmood "," 						  7.00 					"," 						  41.17 					","5.76457"
"Asif Masood "," 						  5.00 					"," 						  58.82 					","4.3823"
"Asif Mujtaba "," 						  26.04 					"," 						  63.91 					","23.2206492"
"Ata-ur-Rehman "," 						  4.85 					"," 						  44.73 					","4.0458215"
"Atiq-uz-Zaman "," 						  17.00 					"," 						  94.44 					","16.71644"
"Azam Khan "," 						  23.20 					"," 						  65.53 					","20.800888"
"Azeem Hafeez "," 						  15.00 					"," 						  43.26 					","12.4467"
"Azhar Mahmood "," 						  18.10 					"," 						  76.50 					","16.82395"
"Azmat Rana "," 						  42.00 					"," 						  57.53 					","36.64878"
"Azhar Ali "," 						  36.90 					"," 						  74.45 					","34.071615"
"Adnan Akmal "," 						  20.66 					"," 						  69.66 					","18.7795268"
"Abdur Rehman "," 						  8.35 					"," 						  53.99 					","7.1974495"
"Aizaz Cheema "," 						  8.66 					"," 						  57.77 					","7.5628646"
"Abdul Razzaq "," 						  29.70 					"," 						  81.25 					","28.029375"
"Basit Ali "," 						  34.18 					"," 						  75.79 					","31.6975066"
"Bazid Khan "," 						  26.20 					"," 						  56.46 					","22.777756"
"Danish Kaneria "," 						  6.00 					"," 						  54.54 					","5.18172"
"Faisal Iqbal "," 						  22.42 					"," 						  60.50 					","19.76323"
"Fazl-e-Akbar "," 						  7.00 					"," 						  87.50 					","6.7375"
"Faisal Athar "," 						  9.00 					"," 						  23.68 					","6.93936"
"Fawad Alam "," 						  40.25 					"," 						  74.47 					","37.1672525"
"Ghulam Ali "," 						  17.66 					"," 						  43.80 					","14.682524"
"Haafiz Shahid "," 						  11.00 					"," 						  47.82 					","9.27806"
"Haroon Rasheed "," 						  20.75 					"," 						  52.53 					","17.7949925"
"Hasan Jamil "," 						  22.20 					"," 						  92.50 					","21.7005"
"Hasan Raza "," 						  18.61 					"," 						  50.41 					","15.8413903"
"Humayun Farhat "," 						  20.00 					"," 						  107.14 					","20.4284"
"Ijaz Ahmed "," 						  32.33 					"," 						  80.30 					","30.419297"
"Ijaz Faqih "," 						  12.31 					"," 						  56.12 					","10.6895116"
"Imran Khan "," 						  33.41 					"," 						  72.65 					","30.6687095"
"Imran Nazir "," 						  24.61 					"," 						  81.01 					","23.2079683"
"Intikhab Alam "," 						  8.50 					"," 						  37.77 					","6.913135"
"Inzamam-ul-Haq "," 						  39.52 					"," 						  74.24 					","36.4658944"
"Iqbal Qasim "," 						  6.50 					"," 						  43.33 					","5.394935"
"Irfan Fazil "," 						  15.00 					"," 						  93.75 					","14.71875"
"Imran Abbas "," 						  14.50 					"," 						  46.03 					","12.152305"
"Imran Farhat "," 						  30.69 					"," 						  69.06 					","27.8413542"
"Iftikhar Anjum "," 						  15.60 					"," 						  61.90 					","13.81692"
"Jalal-ud-Din "," 						  2.50 					"," 						  100.00 					","2.5"
"Javed Miandad "," 						  41.70 					"," 						  67.01 					","37.572951"
"Javed Qadeer "," 						  12.00 					"," 						  52.17 					","10.27812"
"Junaid Zia "," 						  2.00 					"," 						  28.57 					","1.57142"
"Kabir Khan "," 						  10.00 					"," 						  40.00 					","8.2"
"Kamran Akmal "," 						  26.09 					"," 						  83.94 					","24.8329838"
"Khalid Latif "," 						  29.40 					"," 						  64.47 					","26.266254"
"Khurram Manzoor "," 						  33.71 					"," 						  62.93 					","29.9611109"
"Liaqat Ali "," 						  7.00 					"," 						  22.58 					","5.37418"
"Mahmood Hamid "," 						  1.00 					"," 						  16.66 					","0.74998"
"Mansoor Rana "," 						  7.50 					"," 						  62.50 					","6.65625"
"Manzoor Elahi "," 						  22.45 					"," 						  89.60 					","21.74956"
"Mansoor Akhtar "," 						  17.44 					"," 						  51.65 					","14.910328"
"Manzoor Akhtar "," 						  24.25 					"," 						  65.98 					","21.775045"
