Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Wayne Parnell "," 						  28.50 					"," 						  118.75 					","31.171875"
"Kyle Abbott "," 						  11.50 					"," 						  115.00 					","12.3625"
"Quinton de Kock "," 						  29.66 					"," 						  127.95 					","33.804985"
"Imran Tahir "," 						  18.00 					"," 						  105.88 					","18.5292"
"Hashim Amla "," 						  34.51 					"," 						  132.60 					","40.13513"
"Chris Morris "," 						  11.00 					"," 						  110.00 					","11.55"
"Mark Boucher "," 						  17.86 					"," 						  97.45 					","17.632285"
"Johan Botha "," 						  18.27 					"," 						  121.81 					","20.2623435"
"Boeta Dippenaar "," 						  1.00 					"," 						  20.00 					","0.6"
"Faf du Plessis "," 						  36.09 					"," 						  133.22 					","42.084549"
"Jean-Paul Duminy "," 						  37.95 					"," 						  124.79 					","42.6539025"
"AB de Villiers "," 						  26.12 					"," 						  135.16 					","30.711896"
"Herschelle Gibbs "," 						  18.18 					"," 						  125.78 					","20.523402"
"Andrew Hall "," 						  11.00 					"," 						  110.00 					","11.55"
"Jacques Kallis "," 						  35.05 					"," 						  119.35 					","38.4410875"
"Justin Kemp "," 						  50.75 					"," 						  126.87 					","57.5682625"
"Rory Kleinveldt "," 						  25.00 					"," 						  250.00 					","43.75"
"Heino Kuhn "," 						  12.25 					"," 						  116.66 					","13.270425"
"Charl Langeveldt "," 						  4.00 					"," 						  50.00 					","3.0"
"Albie Morkel "," 						  21.18 					"," 						  142.28 					","25.657452"
"Ryan McLaren "," 						  9.00 					"," 						  69.23 					","7.61535"
"Morne Morkel "," 						  7.33 					"," 						  122.22 					","8.144363"
"Makhaya Ntini "," 						  5.00 					"," 						  90.90 					","4.7725"
"Justin Ontong "," 						  15.80 					"," 						  144.95 					","19.35105"
"Robin Peterson "," 						  15.50 					"," 						  109.73 					","16.254075"
"Shaun Pollock "," 						  12.28 					"," 						  122.85 					","13.68299"
"Ashwell Prince "," 						  5.00 					"," 						  83.33 					","4.58325"
"Alviro Petersen "," 						  7.00 					"," 						  73.68 					","6.0788"
"Vernon Philander "," 						  3.50 					"," 						  50.00 					","2.625"
"Graeme Smith "," 						  31.67 					"," 						  127.53 					","36.0293755"
"Dale Steyn "," 						  3.00 					"," 						  75.00 					","2.625"
"Lonwabo Tsotsobe "," 						  2.00 					"," 						  20.00 					","1.2"
"Monde Zondeki "," 						  0.00 					"," 						  0.00 					","0.0"
"Theunis de Bruyn "," 						  13.00 					"," 						  162.50 					","17.0625"
"Andile Phehlukwayo "," 						  13.33 					"," 						  129.03 					","15.2648495"
