Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Todd Astle "," 						  34.50 					"," 						  113.11 					","35.856885"
"Martin Guptill "," 						  42.99 					"," 						  86.38 					","41.2334286"
"Hamish Bennett "," 						  5.00 					"," 						  28.57 					","3.92855"
"Colin Munro "," 						  25.85 					"," 						  105.60 					","26.28428"
"Tim Southee "," 						  12.27 					"," 						  101.95 					","12.3417795"
"Corey Anderson "," 						  27.72 					"," 						  108.72 					","28.4451552"
"Kane Williamson "," 						  46.87 					"," 						  83.22 					","44.5105642"
"George Worker "," 						  37.50 					"," 						  74.75 					","34.659375"
"Trent Boult "," 						  11.00 					"," 						  74.23 					","10.14959"
"Mitchell McClenaghan "," 						  27.00 					"," 						  78.26 					","25.23906"
"Hamish Rutherford "," 						  3.75 					"," 						  26.78 					","2.926275"
"James Neesham "," 						  27.03 					"," 						  94.96 					","26.6213064"
"Geoff Allott "," 						  3.40 					"," 						  30.35 					","2.68957"
"Robert Anderson "," 						  16.00 					"," 						  34.78 					","12.86944"
"Nathan Astle "," 						  34.92 					"," 						  72.64 					","32.0537664"
"Andre Adams "," 						  17.45 					"," 						  100.47 					","17.4746045"
"Doug Bracewell "," 						  11.28 					"," 						  58.51 					","9.8759784"
"Matthew Bell "," 						  19.00 					"," 						  49.62 					","16.12834"
"Tony Blain "," 						  16.37 					"," 						  66.76 					","14.7375836"
"Bruce Blair "," 						  14.50 					"," 						  68.77 					","13.141495"
"Stephen Boock "," 						  10.00 					"," 						  96.77 					","9.9031"
"John Bracewell "," 						  16.51 					"," 						  71.40 					","15.093442"
"Grant Bradburn "," 						  8.57 					"," 						  46.15 					","7.1855165"
"Vaughan Brown "," 						  14.66 					"," 						  51.76 					","12.5384048"
"Carl Bulfin "," 						  9.00 					"," 						  112.50 					","9.3375"
"Mark Burgess "," 						  16.80 					"," 						  65.24 					","15.048096"
"Shane Bond "," 						  16.22 					"," 						  76.04 					","15.0541064"
"Ian Butler "," 						  10.50 					"," 						  54.54 					","9.06801"
"Neil Broom "," 						  26.94 					"," 						  81.22 					","25.4222004"
"Michael Bates "," 						  13.00 					"," 						  130.00 					","14.17"
"Lance Cairns "," 						  16.72 					"," 						  104.88 					","16.9647808"
"Chris Cairns "," 						  29.46 					"," 						  84.26 					","28.0688988"
"Ewen Chatfield "," 						  10.72 					"," 						  34.10 					","8.600656"
"Richard Collinge "," 						  5.66 					"," 						  54.83 					","4.8930134"
"Peter Coman "," 						  20.66 					"," 						  59.61 					","18.1566278"
"Jeremy Coney "," 						  30.72 					"," 						  64.95 					","27.489792"
"Bevan Congdon "," 						  56.33 					"," 						  71.61 					","51.5323739"
"Jeff Crowe "," 						  25.72 					"," 						  61.80 					","22.772488"
"Martin Crowe "," 						  38.55 					"," 						  72.63 					","35.3846595"
"Craig Cumming "," 						  13.41 					"," 						  53.48 					","11.5385004"
"Tama Canning "," 						  17.33 					"," 						  71.23 					","15.8342477"
"Heath Davis "," 						  6.50 					"," 						  39.39 					","5.318105"
"Richard de Groen "," 						  2.40 					"," 						  33.33 					","1.919976"
"Mark Douglas "," 						  9.16 					"," 						  44.71 					","7.6406308"
"Simon Doull "," 						  12.28 					"," 						  91.48 					","11.9661232"
"Anton Devcich "," 						  17.72 					"," 						  77.07 					","16.5010412"
"Bruce Edgar "," 						  30.74 					"," 						  49.22 					","26.0570684"
"Jock Edwards "," 						  23.00 					"," 						  72.25 					","21.08525"
"Andrew Ellis "," 						  14.00 					"," 						  83.69 					","13.31498"
"Stephen Fleming "," 						  32.40 					"," 						  71.49 					","29.628828"
"Trevor Franklin "," 						  9.00 					"," 						  30.33 					","7.11891"
"James Franklin "," 						  23.96 					"," 						  76.92 					","22.3010096"
"Peter Fulton "," 						  32.53 					"," 						  72.77 					","29.8726243"
"Daniel Flynn "," 						  15.20 					"," 						  63.33 					","13.527848"
"Lee Germon "," 						  19.96 					"," 						  65.94 					","17.9204872"
"Stu Gillespie "," 						  11.66 					"," 						  66.03 					","10.4717294"
"Evan Gray "," 						  16.33 					"," 						  42.60 					","13.517974"
"Mark Greatbatch "," 						  28.28 					"," 						  71.18 					","25.8349112"
"Mark Gillespie "," 						  15.50 					"," 						  78.81 					","14.514665"
"Barry Hadlee "," 						  26.00 					"," 						  27.95 					","20.3801"
"Dayle Hadlee "," 						  8.00 					"," 						  47.05 					","6.7292"
"Sir Richard Hadlee "," 						  21.61 					"," 						  75.50 					","20.021665"
"Chris Harris "," 						  29.00 					"," 						  66.51 					","26.08637"
"Blair Hartland "," 						  20.73 					"," 						  49.91 					","17.6149029"
"Matthew Hart "," 						  7.62 					"," 						  60.39 					","6.7145154"
"Robbie Hart "," 						  0.00 					"," 						  0.00 					","0.0"
"Ron Hart "," 						  3.00 					"," 						  10.34 					","2.19306"
"Mark Haslam "," 						  9.00 					"," 						  50.00 					","7.65"
"Brian Hastings "," 						  18.87 					"," 						  55.71 					","16.3627431"
"Roydon Hayes "," 						  13.00 					"," 						  52.00 					","11.128"
"Gareth Hopkins "," 						  14.75 					"," 						  75.88 					","13.68269"
"Matt Horne "," 						  20.41 					"," 						  64.68 					","18.2473564"
"Phil Horne "," 						  12.50 					"," 						  40.98 					","10.28675"
"Geoff Howarth "," 						  23.06 					"," 						  60.14 					","20.3024852"
"Hedley Howarth "," 						  6.00 					"," 						  69.23 					","5.44614"
"Llorne Howell "," 						  23.91 					"," 						  73.96 					","22.0421508"
"Paul Hitchcock "," 						  10.25 					"," 						  67.21 					","9.2417075"
"Jamie How "," 						  29.05 					"," 						  66.53 					","26.1330895"
"Andrew Jones "," 						  35.69 					"," 						  57.86 					","31.1780702"
"Richard Jones "," 						  33.60 					"," 						  51.06 					","28.666848"
"Robert Kennedy "," 						  17.00 					"," 						  113.33 					","17.67983"
"Chris Kuggeleijn "," 						  15.77 					"," 						  63.67 					","14.0512277"
"Gavin Larsen "," 						  14.62 					"," 						  64.84 					","13.0778824"
"Rod Latham "," 						  20.10 					"," 						  57.83 					","17.557149"
"Warren Lees "," 						  11.31 					"," 						  70.03 					","10.2931179"
"Hamish Marshall "," 						  27.43 					"," 						  73.06 					","25.2131074"
"James Marshall "," 						  25.00 					"," 						  79.87 					","23.49025"
"Chris Martin "," 						  1.60 					"," 						  29.62 					","1.262176"
"Michael Mason "," 						  8.00 					"," 						  53.33 					","6.87992"
"Paul McEwan "," 						  13.60 					"," 						  58.95 					","11.92516"
"Brian McKechnie "," 						  13.50 					"," 						  37.24 					","10.95822"
"Craig McMillan "," 						  28.18 					"," 						  75.94 					","26.1459676"
"Ervin McSweeney "," 						  8.11 					"," 						  61.34 					","7.1694022"
"Danny Morrison "," 						  9.00 					"," 						  42.75 					","7.45425"
"John Morrison "," 						  21.00 					"," 						  53.38 					","18.06294"
"Darrin Murray "," 						  3.00 					"," 						  17.64 					","2.25876"
"Brendon McCullum "," 						  30.41 					"," 						  96.37 					","30.0788351"
"Kyle Mills "," 						  15.62 					"," 						  81.66 					","14.7605876"
"Nathan McCullum "," 						  20.98 					"," 						  87.70 					","20.205838"
"Tarun Nethula "," 						  6.00 					"," 						  109.09 					","6.16362"
"Peter McGlashan "," 						  63.00 					"," 						  123.52 					","67.44528"
"Andy McKay "," 						  4.00 					"," 						  25.53 					","3.10636"
"Dion Nash "," 						  15.60 					"," 						  66.38 					","14.026584"
