Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Jason Mohammed "," 						  25.19 					"," 						  69.51 					","22.8858707"
"Nelon Pascal "," 						  0.00 					"," 						  0.00 					","0.0"
"Kemar Roach "," 						  12.70 					"," 						  51.92 					","10.868152"
"Sunil Narine "," 						  11.00 					"," 						  82.31 					","10.41623"
"Kieron Pollard "," 						  25.71 					"," 						  92.89 					","25.1616057"
"Anthony Martin "," 						  10.00 					"," 						  34.48 					","8.0344"
"Devon Thomas "," 						  14.00 					"," 						  65.38 					","12.54596"
"Kieran Powell "," 						  24.24 					"," 						  78.40 					","22.669248"
"Clayton Lambert "," 						  33.91 					"," 						  75.37 					","31.4043901"
"Veerasammy Permaul "," 						  6.33 					"," 						  73.07 					","5.8185993"
"Adrian Barath "," 						  30.30 					"," 						  64.37 					","27.061233"
"Royston Crandon "," 						  5.00 					"," 						  55.55 					","4.33325"
"Andre Russell "," 						  28.97 					"," 						  130.81 					","31.6476971"
"Darren Bravo "," 						  32.03 					"," 						  69.87 					","29.1348083"
"Jonathan Carter "," 						  22.78 					"," 						  68.58 					","20.6327572"
"Chadwick Walton "," 						  6.62 					"," 						  61.62 					","5.8577732"
"Ashley Nurse "," 						  18.62 					"," 						  92.26 					","18.1876436"
"Johnson Charles "," 						  26.72 					"," 						  83.80 					","25.421408"
"Devendra Bishoo "," 						  7.50 					"," 						  56.96 					","6.5316"
"Kraigg Brathwaite "," 						  27.80 					"," 						  57.55 					","24.25967"
"Jason Holder "," 						  26.71 					"," 						  95.94 					","26.3846722"
"Roston Chase "," 						  13.60 					"," 						  64.15 					","12.13732"
"Evin Lewis "," 						  34.57 					"," 						  84.39 					","32.9510869"
"Jermaine Blackwood "," 						  5.50 					"," 						  47.82 					","4.63903"
"Kyle Hope "," 						  23.00 					"," 						  71.87 					","21.05903"
"Shannon Gabriel "," 						  3.50 					"," 						  39.62 					","2.86601"
"Kesrick Williams "," 						  19.00 					"," 						  70.37 					","17.31109"
"Carlos Brathwaite "," 						  13.45 					"," 						  82.60 					","12.74791"
"Sheldon Cottrell "," 						  7.00 					"," 						  58.33 					","6.12493"
"Ronsford Beaton "," 						  15.00 					"," 						  29.41 					","11.82345"
"Jimmy Adams "," 						  28.62 					"," 						  60.98 					","25.2697428"
"Sir Curtly Ambrose "," 						  10.65 					"," 						  64.87 					","9.5275965"
"Hamish Anthony "," 						  7.66 					"," 						  104.54 					","7.7643292"
"Keith Arthurton "," 						  26.08 					"," 						  67.46 					","23.5340704"
"Richard Austin "," 						  8.00 					"," 						  61.53 					","7.07672"
"Faoud Bacchus "," 						  26.60 					"," 						  65.94 					","23.882012"
"Eldine Baptiste "," 						  15.33 					"," 						  76.34 					","14.2418766"
"Kenny Benjamin "," 						  10.83 					"," 						  81.25 					","10.2208125"
"Winston Benjamin "," 						  7.45 					"," 						  73.39 					","6.8552665"
"Carlisle Best "," 						  24.89 					"," 						  68.55 					","22.5416285"
"Ian Bishop "," 						  16.20 					"," 						  52.19 					","13.876434"
"Marlon Black "," 						  2.00 					"," 						  28.57 					","1.57142"
"Keith Boyce "," 						  14.25 					"," 						  74.02 					","13.139355"
"Courtney Browne "," 						  17.29 					"," 						  70.33 					","15.7510171"
"Hendy Bryan "," 						  7.16 					"," 						  60.56 					","6.3128288"
"Ian Bradshaw "," 						  12.47 					"," 						  59.79 					","10.9657439"
"Sulieman Benn "," 						  7.91 					"," 						  75.83 					","7.3364459"
"Darrel Brown "," 						  10.00 					"," 						  50.00 					","8.5"
"Omari Banks "," 						  16.60 					"," 						  55.70 					","14.39386"
"Barrington Browne "," 						  8.00 					"," 						  33.33 					","6.39992"
"Deighton Butler "," 						  25.00 					"," 						  73.52 					","23.014"
"Lionel Baker "," 						  6.50 					"," 						  56.52 					","5.65214"
"Tino Best "," 						  9.50 					"," 						  60.80 					","8.3828"
"Patrick Browne "," 						  33.50 					"," 						  74.86 					","30.97343"
"Dwayne Bravo "," 						  25.36 					"," 						  82.30 					","24.013384"
"Carlton Baugh "," 						  20.08 					"," 						  67.03 					","18.0938872"
"Sherwin Campbell "," 						  26.24 					"," 						  59.25 					","23.03216"
"Shivnarine Chanderpaul "," 						  41.60 					"," 						  70.74 					","37.948352"
"Sylvester Clarke "," 						  10.00 					"," 						  103.44 					","10.1032"
"Pedro Collins "," 						  4.28 					"," 						  60.00 					","3.7664"
"Corey Collymore "," 						  5.77 					"," 						  39.84 					","4.7286304"
"Colin Croft "," 						  9.00 					"," 						  47.36 					","7.57872"
"Cameron Cuffy "," 						  4.42 					"," 						  49.60 					","3.751696"
"Anderson Cummins "," 						  13.50 					"," 						  82.93 					","12.808665"
"Sewnarine Chattergoon "," 						  24.66 					"," 						  60.16 					","21.7126368"
"Wayne Daniel "," 						  49.00 					"," 						  87.50 					","47.1625"
"Winston Davis "," 						  14.00 					"," 						  52.83 					","12.01886"
"Rajindra Dhanraj "," 						  8.00 					"," 						  25.00 					","6.2"
"Mervyn Dillon "," 						  7.32 					"," 						  55.23 					","6.3368508"
"Vasbert Drakes "," 						  7.83 					"," 						  54.02 					","6.7499298"
"Jeff Dujon "," 						  23.15 					"," 						  67.51 					","20.8935695"
"Narsingh Deonarine "," 						  26.23 					"," 						  68.95 					","23.7866755"
"Travis Dowlin "," 						  25.33 					"," 						  65.51 					","22.7091049"
"Fidel Edwards "," 						  9.12 					"," 						  45.62 					","7.6321632"
"Rayad Emrit "," 						  13.00 					"," 						  37.14 					","10.54846"
"Kirk Edwards "," 						  23.64 					"," 						  67.00 					","21.29964"
"Maurice Foster "," 						  25.00 					"," 						  40.32 					","20.524"
"Roy Fredericks "," 						  25.91 					"," 						  70.68 					","23.6309564"
"Andre Fletcher "," 						  14.16 					"," 						  64.48 					","12.6511104"
"Shawn Findlay "," 						  20.85 					"," 						  75.25 					","19.3018875"
"Richard Gabriel "," 						  15.18 					"," 						  46.38 					","12.7381452"
"Daren Ganga "," 						  25.54 					"," 						  59.61 					","22.4453182"
"Joel Garner "," 						  9.19 					"," 						  66.38 					","8.2630966"
"Leon Garrick "," 						  33.00 					"," 						  48.52 					","27.90348"
"Chris Gayle "," 						  37.00 					"," 						  85.81 					","35.42491"
"Ottis Gibson "," 						  14.10 					"," 						  102.17 					","14.191791"
"Larry Gomes "," 						  28.87 					"," 						  54.88 					","24.9621568"
"Tony Gray "," 						  8.50 					"," 						  66.23 					","7.638865"
"Alvin Greenidge "," 						  23.00 					"," 						  69.69 					","20.90861"
"Gordon Greenidge "," 						  45.03 					"," 						  64.92 					","40.2910428"
"Adrian Griffith "," 						  14.14 					"," 						  55.93 					","12.2705506"
"Roger Harper "," 						  16.13 					"," 						  73.58 					","14.8515362"
"Desmond Haynes "," 						  41.37 					"," 						  63.09 					","36.7890999"
"Robert Haynes "," 						  5.20 					"," 						  39.39 					","4.254484"
"Ron Headley "," 						  19.00 					"," 						  46.34 					","15.94138"
"Ryan Hinds "," 						  16.83 					"," 						  59.41 					","14.7806109"
"Wavell Hinds "," 						  28.51 					"," 						  65.55 					","25.5634915"
"Roland Holder "," 						  23.96 					"," 						  68.37 					","21.6864356"
"Vanburn Holder "," 						  12.80 					"," 						  75.29 					","11.851136"
"Michael Holding "," 						  9.09 					"," 						  74.80 					","8.402796"
"Carl Hooper "," 						  35.34 					"," 						  76.63 					","32.8623126"
"Ryan Hurley "," 						  3.25 					"," 						  40.62 					","2.671045"
"Danza Hyatt "," 						  14.00 					"," 						  59.57 					","12.30194"
"Ridley Jacobs "," 						  23.31 					"," 						  70.06 					","21.2162958"
"Sylvester Joseph "," 						  16.10 					"," 						  53.31 					","13.844873"
"Bernard Julien "," 						  14.33 					"," 						  58.10 					","12.528719"
"Kerry Jeremy "," 						  8.50 					"," 						  40.47 					","6.981985"
"Leon Johnson "," 						  16.33 					"," 						  56.00 					","14.17444"
"Alvin Kallicharran "," 						  34.41 					"," 						  62.15 					","30.5027445"
"Rohan Kanhai "," 						  54.66 					"," 						  60.07 					","48.1122786"
"Collis King "," 						  23.33 					"," 						  104.86 					","23.6701514"
"Reon King "," 						  7.22 					"," 						  32.01 					","5.7473366"
