Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Chamara Kapugedera "," 						  22.67 					"," 						  118.95 					","24.8179825"
"Milinda Siriwardana "," 						  17.18 					"," 						  132.21 					","19.946839"
"Thisara Perera "," 						  22.83 					"," 						  152.46 					","28.818309"
"Shaminda Eranga "," 						  6.00 					"," 						  85.71 					","5.5713"
"Ajantha Mendis "," 						  2.66 					"," 						  47.05 					","1.955765"
"Seekkuge Prasanna "," 						  15.28 					"," 						  132.91 					","17.794324"
"Sachithra Senanayake "," 						  9.33 					"," 						  84.84 					","8.622786"
"Dinesh Chandimal "," 						  17.57 					"," 						  103.50 					","17.877475"
"Kusal Perera "," 						  30.00 					"," 						  137.83 					","35.6745"
"Lahiru Thirimanne "," 						  16.16 					"," 						  108.98 					","16.885584"
"Nuwan Pradeep "," 						  0.00 					"," 						  0.00 					","0.0"
"Kithuruwan Vithanage "," 						  13.33 					"," 						  117.64 					","14.505706"
"Danushka Gunathilaka "," 						  20.66 					"," 						  125.00 					","23.2425"
"Asela Gunaratne "," 						  25.00 					"," 						  126.40 					","28.3"
"Niroshan Dickwella "," 						  20.75 					"," 						  139.10 					","24.806625"
"Dasun Shanaka "," 						  15.94 					"," 						  115.64 					","17.186508"
"Vishwa Fernando "," 						  2.00 					"," 						  100.00 					","2.0"
"Dhananjaya de Silva "," 						  23.85 					"," 						  108.44 					","24.85647"
"Russel Arnold "," 						  7.00 					"," 						  100.00 					","7.0"
"Marvan Atapattu "," 						  5.00 					"," 						  62.50 					","4.0625"
"Malinga Bandara "," 						  6.00 					"," 						  80.00 					","5.4"
"Tillakaratne Dilshan "," 						  28.19 					"," 						  120.54 					","31.085113"
"Dilhara Fernando "," 						  5.00 					"," 						  92.59 					","4.81475"
"Rangana Herath "," 						  2.66 					"," 						  66.66 					","2.216578"
"Sanath Jayasuriya "," 						  23.29 					"," 						  129.15 					","26.6845175"
"Mahela Jayawardene "," 						  31.76 					"," 						  133.18 					","37.028984"
"Nuwan Kulasekara "," 						  10.23 					"," 						  116.84 					","11.091366"
"Kaushal Lokuarachchi "," 						  5.50 					"," 						  84.61 					","5.076775"
"Suranga Lakmal "," 						  3.50 					"," 						  87.50 					","3.28125"
"Jehan Mubarak "," 						  21.63 					"," 						  126.59 					","24.5057085"
"Muttiah Muralitharan "," 						  0.50 					"," 						  20.00 					","0.3"
"Farveez Maharoof "," 						  8.25 					"," 						  76.74 					","7.290525"
"Thilan Thushara "," 						  2.00 					"," 						  50.00 					","1.5"
"Lasith Malinga "," 						  5.61 					"," 						  77.65 					","4.9830825"
"Angelo Mathews "," 						  27.76 					"," 						  118.53 					","30.331964"
"Dilruwan Perera "," 						  0.50 					"," 						  16.66 					","0.29165"
"Gayan Wijekoon "," 						  1.00 					"," 						  20.00 					","0.6"
"Chamara Silva "," 						  13.46 					"," 						  98.87 					","13.383951"
"Suraj Randiv "," 						  4.00 					"," 						  133.33 					","4.6666"
"Kumar Sangakkara "," 						  31.40 					"," 						  119.55 					","34.46935"
"Upul Tharanga "," 						  16.28 					"," 						  123.33 					","18.179062"
"Chaminda Vaas "," 						  33.00 					"," 						  80.48 					","29.7792"
"Dushmantha Chameera "," 						  7.75 					"," 						  77.50 					","6.878125"
"Akila Dananjaya "," 						  9.66 					"," 						  100.00 					","9.66"
"Kusal Mendis "," 						  23.64 					"," 						  152.53 					","29.849046"
"Sadeera Samarawickrama "," 						  17.00 					"," 						  106.25 					","17.53125"
