Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Ravi Bopara "," 						  30.62 					"," 						  77.84 					","28.5843824"
"Stuart Broad "," 						  12.30 					"," 						  74.61 					","11.363109"
"Andy Caddick "," 						  12.45 					"," 						  63.03 					","11.0691705"
"David Capel "," 						  19.23 					"," 						  68.26 					","17.3989194"
"Michael Carberry "," 						  19.00 					"," 						  63.33 					","16.90981"
"Glen Chapple "," 						  14.00 					"," 						  200.00 					","18.2"
"Brian Close "," 						  16.33 					"," 						  98.00 					","16.23202"
"Paul Collingwood "," 						  35.36 					"," 						  76.98 					","32.9180384"
"Geoff Cook "," 						  17.66 					"," 						  40.61 					","14.5135178"
"Dominic Cork "," 						  10.00 					"," 						  66.42 					","8.9926"
"Norman Cowans "," 						  2.60 					"," 						  44.82 					","2.169596"
"Chris Cowdrey "," 						  25.50 					"," 						  110.86 					","26.33079"
"Colin Cowdrey "," 						  1.00 					"," 						  20.00 					","0.76"
"John Crawley "," 						  21.36 					"," 						  57.59 					","18.6423672"
"Robert Croft "," 						  14.37 					"," 						  66.47 					","12.9245217"
"Rikki Clarke "," 						  11.07 					"," 						  62.06 					","9.8100126"
"Alastair Cook "," 						  36.40 					"," 						  77.13 					","33.902596"
"Phil DeFreitas "," 						  16.04 					"," 						  83.83 					","15.2618996"
"Mike Denness "," 						  29.33 					"," 						  63.30 					","26.100767"
"Graham Dilley "," 						  11.40 					"," 						  85.71 					","10.911282"
"Basil D'Oliveira "," 						  10.00 					"," 						  69.76 					","9.0928"
"Paul Downton "," 						  16.13 					"," 						  67.59 					","14.5616801"
"Jamie Dalrymple "," 						  19.48 					"," 						  72.47 					","17.8711468"
"Steven Davies "," 						  30.50 					"," 						  105.62 					","31.01423"
"Joe Denly "," 						  29.77 					"," 						  65.52 					","26.6905912"
"Jade Dernbach "," 						  2.71 					"," 						  48.71 					","2.2930123"
"Mark Ealham "," 						  17.46 					"," 						  65.56 					","15.6560328"
"Phil Edmonds "," 						  10.54 					"," 						  50.00 					","8.959"
"John Edrich "," 						  37.16 					"," 						  68.61 					","33.6606428"
"Richard Ellison "," 						  10.75 					"," 						  78.18 					","10.046305"
"John Emburey "," 						  14.31 					"," 						  75.45 					","13.2560685"
"Neil Fairbrother "," 						  39.47 					"," 						  72.06 					","36.1616246"
"Matthew Fleming "," 						  15.44 					"," 						  101.45 					","15.507164"
"Keith Fletcher "," 						  39.84 					"," 						  66.75 					","35.86596"
