Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Mohammad Munaf "," 						  31.00 					"," 						  2.66 					"," 						  69.9 					","23.0939666667"
"Mohammad Nazir "," 						  33.05 					"," 						  2.06 					"," 						  95.9 					","25.1829983333"
"Mohammad Zahid "," 						  33.46 					"," 						  3.80 					"," 						  52.8 					","26.0073426667"
"Mohsin Kamal "," 						  34.25 					"," 						  3.65 					"," 						  56.1 					","26.5477458333"
"Mudassar Nazar "," 						  38.36 					"," 						  2.54 					"," 						  90.4 					","29.8811613333"
"Mufasir-ul-Haq "," 						  28.00 					"," 						  2.27 					"," 						  74.0 					","20.4516666667"
"Munir Malik "," 						  39.77 					"," 						  3.14 					"," 						  76.0 					","31.2260783333"
"Mushtaq Ahmed "," 						  32.97 					"," 						  2.92 					"," 						  67.7 					","24.916528"
"Mushtaq Mohammad "," 						  29.22 					"," 						  2.63 					"," 						  66.5 					","21.518095"
"Mohammad Sami "," 						  52.74 					"," 						  3.58 					"," 						  88.2 					","44.050206"
"Mohammad Asif "," 						  24.36 					"," 						  2.99 					"," 						  48.7 					","17.583454"
"Mohammad Hafeez "," 						  33.90 					"," 						  2.67 					"," 						  76.0 					","25.687725"
"Majid Khan "," 						  53.92 					"," 						  2.43 					"," 						  132.7 					","46.217528"
"Nadeem Khan "," 						  115.00 					"," 						  3.19 					"," 						  216.0 					","122.829583333"
"Nasim-ul-Ghani "," 						  37.67 					"," 						  2.66 					"," 						  84.7 					","29.1779263333"
"Naved Anjum "," 						  40.50 					"," 						  2.84 					"," 						  85.5 					","31.86"
"Niaz Ahmed "," 						  31.33 					"," 						  1.91 					"," 						  98.0 					","23.7298641667"
"Naved-ul-Hasan "," 						  58.00 					"," 						  4.00 					"," 						  86.9 					","49.7137333333"
"Pervez Sajjad "," 						  23.89 					"," 						  2.04 					"," 						  70.2 					","16.947566"
"Rashid Khan "," 						  45.00 					"," 						  2.92 					"," 						  92.2 					","36.213"
"Fazal-ur-Rehman "," 						  99.00 					"," 						  2.91 					"," 						  204.0 					","101.74725"
"Rizwan-uz-Zaman "," 						  11.50 					"," 						  2.09 					"," 						  33.0 					","7.33604166667"
"Riaz Afridi "," 						  43.50 					"," 						  2.80 					"," 						  93.0 					","34.771"
"Saeed Ahmed "," 						  36.45 					"," 						  2.43 					"," 						  90.0 					","28.1302875"
"Salahuddin "," 						  26.71 					"," 						  2.05 					"," 						  78.0 					","19.3803308333"
"Saleem Altaf "," 						  37.17 					"," 						  2.56 					"," 						  86.9 					","28.737366"
"Saleem Malik "," 						  82.80 					"," 						  3.38 					"," 						  146.8 					","77.89548"
"Saqlain Mushtaq "," 						  29.83 					"," 						  2.64 					"," 						  67.6 					","22.050336"
"Sarfraz Nawaz "," 						  32.75 					"," 						  2.49 					"," 						  78.8 					","24.6558375"
"Shabbir Ahmed "," 						  23.03 					"," 						  2.73 					"," 						  50.5 					","16.3570575"
"Shafqat Rana "," 						  9.00 					"," 						  1.50 					"," 						  36.0 					","5.4855"
"Shahid Afridi "," 						  35.60 					"," 						  3.21 					"," 						  66.5 					","27.4209"
"Shahid Mahboob "," 						  65.50 					"," 						  2.67 					"," 						  147.0 					","58.933625"
"Shahid Nazir "," 						  35.33 					"," 						  3.41 					"," 						  62.0 					","27.3071458333"
"Shakil Ahmed "," 						  34.75 					"," 						  2.56 					"," 						  81.2 					","26.4702333333"
"Shoaib Akhtar "," 						  25.69 					"," 						  3.37 					"," 						  45.7 					","18.9587918333"
"Shoaib Malik "," 						  47.46 					"," 						  3.36 					"," 						  84.7 					","38.698884"
"Shoaib Mohammad "," 						  34.00 					"," 						  2.57 					"," 						  79.2 					","25.7827666667"
"Shujauddin "," 						  40.05 					"," 						  2.07 					"," 						  115.6 					","32.1180975"
