Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Bob Willis "," 						  25.20 					"," 						  2.83 					"," 						  53.4 					","18.85716"
"Bob Woolmer "," 						  74.75 					"," 						  3.28 					"," 						  136.5 					","70.04075"
"Adil Rashid "," 						  42.78 					"," 						  3.83 					"," 						  66.9 					","35.306334"
"Boyd Rankin "," 						  81.00 					"," 						  3.88 					"," 						  125.0 					","76.464"
"Chris Woakes "," 						  35.53 					"," 						  3.08 					"," 						  69.1 					","28.146866"
"Chris Jordan "," 						  35.80 					"," 						  2.94 					"," 						  72.8 					","28.37508"
"Joe Root "," 						  46.11 					"," 						  3.02 					"," 						  91.4 					","38.446518"
"Scott Borthwick "," 						  20.50 					"," 						  6.30 					"," 						  19.5 					","17.507"
"Ben Stokes "," 						  33.93 					"," 						  3.37 					"," 						  60.3 					","26.774163"
"Zafar Ansari "," 						  55.00 					"," 						  4.04 					"," 						  81.6 					","47.586"
"Mark Wood "," 						  40.65 					"," 						  3.40 					"," 						  71.6 					","33.05658"
"Toby Roland-Jones "," 						  19.64 					"," 						  3.73 					"," 						  31.5 					","14.72018"
"Jake Ball "," 						  114.33 					"," 						  3.36 					"," 						  204.0 					","123.01908"
"Jonathan Trott "," 						  80.00 					"," 						  3.38 					"," 						  141.6 					","76.176"
"Tom Curran "," 						  100.00 					"," 						  3.03 					"," 						  198.0 					","104.75"
"Kabir Ali "," 						  27.20 					"," 						  3.77 					"," 						  43.2 					","21.07728"
"Chris Adams "," 						  59.00 					"," 						  2.95 					"," 						  120.0 					","52.3625"
"Jonathan Agnew "," 						  93.25 					"," 						  4.05 					"," 						  138.0 					","91.245125"
"Paul Allott "," 						  41.69 					"," 						  2.92 					"," 						  85.5 					","34.06073"
"Geoff Arnold "," 						  28.29 					"," 						  2.55 					"," 						  66.5 					","21.514545"
"Mike Atherton "," 						  151.00 					"," 						  4.44 					"," 						  204.0 					","170.63"
"James Anderson "," 						  27.41 					"," 						  2.90 					"," 						  56.6 					","20.782262"
"Moeen Ali "," 						  40.68 					"," 						  3.63 					"," 						  67.1 					","33.182676"
"Gareth Batty "," 						  60.93 					"," 						  3.19 					"," 						  114.2 					","54.099747"
"Ian Bell "," 						  76.00 					"," 						  4.22 					"," 						  108.0 					","70.452"
"Joey Benjamin "," 						  20.00 					"," 						  2.85 					"," 						  42.0 					","14.53"
"Martin Bicknell "," 						  38.78 					"," 						  3.01 					"," 						  77.1 					","31.206266"
"Sir Ian Botham "," 						  28.40 					"," 						  2.99 					"," 						  56.9 					","21.67772"
"Geoff Boycott "," 						  54.57 					"," 						  2.42 					"," 						  134.8 					","48.600042"
"Tim Bresnan "," 						  32.73 					"," 						  3.02 					"," 						  64.9 					","25.555584"
