Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Frank King "," 						  39.96 					"," 						  2.42 					"," 						  98.9 					","31.527108"
"Lester King "," 						  17.11 					"," 						  1.94 					"," 						  52.8 					","11.4425976667"
"Reon King "," 						  32.69 					"," 						  3.02 					"," 						  64.9 					","24.7125503333"
"Peter Lashley "," 						  1.00 					"," 						  0.33 					"," 						  18.0 					","0.50525"
"Rawl Lewis "," 						  114.00 					"," 						  3.09 					"," 						  220.7 					","122.1681"
"Clive Lloyd "," 						  62.20 					"," 						  2.17 					"," 						  171.6 					","57.2105233333"
"Jermaine Lawson "," 						  29.64 					"," 						  3.83 					"," 						  46.3 					","22.704734"
"Malcolm Marshall "," 						  20.94 					"," 						  2.68 					"," 						  46.7 					","14.652416"
"Norman Marshall "," 						  31.00 					"," 						  1.33 					"," 						  139.5 					","25.0040833333"
"Manny Martindale "," 						  21.72 					"," 						  3.00 					"," 						  43.3 					","15.455952"
"Freddie Martin "," 						  77.37 					"," 						  2.75 					"," 						  168.2 					","73.2552055"
"Neil McGarrell "," 						  26.64 					"," 						  2.24 					"," 						  71.2 					","19.262496"
"Nixon McLean "," 						  42.56 					"," 						  3.40 					"," 						  74.9 					","33.9685546667"
"Clifford McWatt "," 						  16.00 					"," 						  4.00 					"," 						  24.0 					","11.7013333333"
"Ezra Moseley "," 						  43.50 					"," 						  3.00 					"," 						  87.0 					","34.7565"
"George Mudie "," 						  13.33 					"," 						  1.37 					"," 						  58.0 					","8.61006916667"
"Dave Mohammed "," 						  51.38 					"," 						  3.76 					"," 						  81.9 					","42.8063906667"
"Mahendra Nagamootoo "," 						  53.08 					"," 						  2.55 					"," 						  124.5 					","44.99857"
"Rangy Nanan "," 						  22.75 					"," 						  2.52 					"," 						  54.0 					","16.03875"
"James Neblett "," 						  75.00 					"," 						  2.08 					"," 						  216.0 					","75.25"
"Jack Noreiga "," 						  29.00 					"," 						  2.23 					"," 						  77.7 					","21.3290166667"
"Albert Padmore "," 						  135.00 					"," 						  1.70 					"," 						  474.0 					","202.1175"
"Derick Parry "," 						  40.69 					"," 						  2.94 					"," 						  83.0 					","32.043375"
"Patrick Patterson "," 						  30.90 					"," 						  3.57 					"," 						  51.9 					","23.547345"
"Nehemiah Perry "," 						  44.60 					"," 						  3.32 					"," 						  80.4 					","35.8792133333"
"Norbert Phillip "," 						  37.17 					"," 						  3.43 					"," 						  65.0 					","28.9956975"
"Daren Powell "," 						  47.85 					"," 						  3.44 					"," 						  83.2 					","39.09664"
"Kenroy Peters "," 						  34.50 					"," 						  3.45 					"," 						  60.0 					","26.608125"
"Sonny Ramadhin "," 						  28.98 					"," 						  1.97 					"," 						  88.2 					","21.483357"
"Dinanath Ramnarine "," 						  30.73 					"," 						  2.37 					"," 						  77.6 					","22.8462185"
"Sir Viv Richards "," 						  61.37 					"," 						  2.27 					"," 						  161.5 					","55.5654208333"
"Clifford Roach "," 						  51.50 					"," 						  2.78 					"," 						  111.0 					","42.9595833333"
"Sir Andy Roberts "," 						  25.61 					"," 						  2.78 					"," 						  55.1 					","18.4998103333"
"Willie Rodriguez "," 						  53.42 					"," 						  3.91 					"," 						  81.8 					","44.9627236667"
"Franklyn Rose "," 						  30.88 					"," 						  3.14 					"," 						  58.9 					","23.1898506667"
"Ravi Rampaul "," 						  34.79 					"," 						  2.97 					"," 						  70.2 					","26.5673835"
"Reg Scarlett "," 						  104.50 					"," 						  1.55 					"," 						  402.0 					","140.491541667"
"Tommy Scott "," 						  42.04 					"," 						  3.95 					"," 						  63.8 					","33.9690206667"
"Ben Sealey "," 						  10.00 					"," 						  2.00 					"," 						  30.0 					","6.26666666667"
"Derek Sealy "," 						  31.33 					"," 						  3.61 					"," 						  52.0 					","23.9543958333"
"John Shepherd "," 						  25.21 					"," 						  1.98 					"," 						  76.0 					","18.088175"
"Grayson Shillingford "," 						  35.80 					"," 						  2.72 					"," 						  78.7 					","27.4251866667"
"Sew Shivnarine "," 						  167.00 					"," 						  2.98 					"," 						  336.0 					","216.404166667"
"Phil Simmons "," 						  64.25 					"," 						  2.47 					"," 						  156.0 					","58.2158541667"
"Charran Singh "," 						  33.20 					"," 						  1.96 					"," 						  101.2 					","25.4555466667"
"Joe Small "," 						  61.33 					"," 						  3.01 					"," 						  122.0 					","53.3315458333"
"Milton Small "," 						  38.25 					"," 						  3.40 					"," 						  67.5 					","29.9625"
"Collie Smith "," 						  33.85 					"," 						  2.20 					"," 						  92.3 					","25.8252933333"
"Joe Solomon "," 						  67.00 					"," 						  2.29 					"," 						  175.5 					","62.6170833333"
"Sir Garry Sobers "," 						  34.03 					"," 						  2.22 					"," 						  91.9 					","25.975099"
"Charlie Stayers "," 						  40.44 					"," 						  3.43 					"," 						  70.6 					","31.999498"
"Edwin St Hill "," 						  73.66 					"," 						  2.37 					"," 						  186.0 					","70.732015"
"Jeffrey Stollmeyer "," 						  39.00 					"," 						  3.07 					"," 						  76.1 					","30.47005"
"Adam Sanford "," 						  43.86 					"," 						  3.56 					"," 						  73.9 					","35.327768"
"Colin Stuart "," 						  31.40 					"," 						  3.37 					"," 						  55.8 					","23.8069566667"
"Ramnaresh Sarwan "," 						  50.56 					"," 						  3.45 					"," 						  87.9 					","41.815648"
"Marlon Samuels "," 						  59.63 					"," 						  3.34 					"," 						  107.1 					","51.2241576667"
"Shane Shillingford "," 						  34.55 					"," 						  3.09 					"," 						  67.0 					","26.4048375"
"Darren Sammy "," 						  35.79 					"," 						  2.90 					"," 						  73.9 					","27.449737"
"Lendl Simmons "," 						  147.00 					"," 						  4.59 					"," 						  192.0 					","161.95725"
"Dwayne Smith "," 						  49.14 					"," 						  3.17 					"," 						  93.0 					","40.339845"
"Patterson Thompson "," 						  43.00 					"," 						  5.65 					"," 						  45.6 					","37.4436833333"
"John Trim "," 						  16.16 					"," 						  2.19 					"," 						  44.1 					","10.761752"
"Jaswick Taylor "," 						  27.30 					"," 						  2.43 					"," 						  67.2 					","19.823895"
"Gavin Tonge "," 						  113.00 					"," 						  4.03 					"," 						  168.0 					","115.382416667"
"Jerome Taylor "," 						  34.46 					"," 						  3.46 					"," 						  59.6 					","26.5698086667"
"Alf Valentine "," 						  30.32 					"," 						  1.95 					"," 						  93.1 					","22.738484"
"Vincent Valentine "," 						  104.00 					"," 						  2.16 					"," 						  288.0 					","119.808"
"Sir Clyde Walcott "," 						  37.09 					"," 						  2.05 					"," 						  108.5 					","29.1743758333"
"Leslie Walcott "," 						  32.00 					"," 						  4.00 					"," 						  48.0 					","24.9386666667"
"Courtney Walsh "," 						  24.44 					"," 						  2.53 					"," 						  57.8 					","17.4302006667"
"Chester Watson "," 						  38.10 					"," 						  2.97 					"," 						  76.7 					","29.590365"
"Tony White "," 						  50.66 					"," 						  1.85 					"," 						  163.6 					","44.8400103333"
"Elquemedo Willett "," 						  43.81 					"," 						  2.18 					"," 						  120.5 					","35.8438816667"
"Foffie Williams "," 						  26.77 					"," 						  1.81 					"," 						  88.4 					","19.6059018333"
"Sir Frank Worrell "," 						  38.72 					"," 						  2.24 					"," 						  103.4 					","30.4907093333"
"Sir Everton Weekes "," 						  77.00 					"," 						  3.78 					"," 						  122.0 					","70.4165"
"Miguel Cummins "," 						  39.61 					"," 						  3.45 					"," 						  68.7 					","31.2384265"
"Alzarri Joseph "," 						  38.86 					"," 						  3.10 					"," 						  75.1 					","30.3509553333"
"Brendan Nash "," 						  123.50 					"," 						  3.01 					"," 						  246.0 					","138.021541667"
