Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Scott Styris "," 						  50.75 					"," 						  3.10 					"," 						  98.0 					","43.18825"
"Murphy Su'a "," 						  38.25 					"," 						  2.90 					"," 						  78.9 					","30.7071"
"Bruce Taylor "," 						  26.60 					"," 						  2.79 					"," 						  57.0 					","20.0431"
"Shane Thomson "," 						  50.15 					"," 						  2.87 					"," 						  104.7 					","42.772935"
"Gary Troup "," 						  37.28 					"," 						  2.74 					"," 						  81.6 					","29.831456"
"Daryl Tuffey "," 						  31.75 					"," 						  3.00 					"," 						  63.3 					","24.65705"
"Roger Twose "," 						  43.33 					"," 						  3.69 					"," 						  70.3 					","35.751583"
"Ross Taylor "," 						  24.00 					"," 						  3.00 					"," 						  48.0 					","17.904"
"Justin Vaughan "," 						  40.90 					"," 						  2.59 					"," 						  94.5 					","33.47665"
"Daniel Vettori "," 						  34.36 					"," 						  2.59 					"," 						  79.5 					","27.09286"
"Graham Vivian "," 						  107.00 					"," 						  3.24 					"," 						  198.0 					","113.206"
"Brooke Walker "," 						  79.80 					"," 						  3.57 					"," 						  133.8 					","75.49878"
"Kerry Walmsley "," 						  43.44 					"," 						  3.03 					"," 						  86.0 					","35.77284"
"Willie Watson "," 						  34.67 					"," 						  2.38 					"," 						  87.1 					","27.500244"
"Paul Wiseman "," 						  47.59 					"," 						  3.07 					"," 						  92.7 					","39.923251"
"Dean Brownlie "," 						  52.00 					"," 						  4.72 					"," 						  66.0 					","45.136"
"Grant Elliott "," 						  35.00 					"," 						  2.97 					"," 						  70.5 					","27.6325"
"Mitchell Santner "," 						  37.05 					"," 						  2.79 					"," 						  79.4 					","29.577015"
"Matt Henry "," 						  46.52 					"," 						  3.23 					"," 						  86.2 					","38.793028"
"Colin de Grandhomme "," 						  28.10 					"," 						  2.47 					"," 						  68.0 					","21.34195"
"Ish Sodhi "," 						  46.68 					"," 						  3.76 					"," 						  74.3 					","39.052488"
