Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Alec Hurwood "," 						  15.45 					"," 						  1.97 					"," 						  47.0 					","10.1802625"
"Ryan Harris "," 						  23.52 					"," 						  2.78 					"," 						  50.7 					","16.783088"
"Michael Hussey "," 						  43.71 					"," 						  3.12 					"," 						  84.0 					","34.968"
"Ben Hilfenhaus "," 						  28.50 					"," 						  2.78 					"," 						  61.3 					","20.94085"
"Moises Henriques "," 						  82.00 					"," 						  2.98 					"," 						  165.0 					","78.2143333333"
"John Inverarity "," 						  23.25 					"," 						  1.50 					"," 						  93.0 					","16.821375"
"Bert Ironmonger "," 						  17.97 					"," 						  1.69 					"," 						  63.4 					","12.1366385"
"Jack Iverson "," 						  15.23 					"," 						  1.73 					"," 						  52.7 					","9.99570283333"
"Terry Jenner "," 						  31.20 					"," 						  2.38 					"," 						  78.3 					","23.25752"
"Len Johnson "," 						  12.33 					"," 						  1.57 					"," 						  47.0 					","7.8367425"
"Mitchell Johnson "," 						  28.40 					"," 						  3.33 					"," 						  51.1 					","21.19918"
"Bill Johnston "," 						  23.91 					"," 						  2.07 					"," 						  69.0 					","16.9462125"
"Dean Jones "," 						  64.00 					"," 						  1.93 					"," 						  198.0 					","61.3493333333"
"Ernie Jones "," 						  29.01 					"," 						  2.96 					"," 						  58.6 					","21.463532"
"Sammy Jones "," 						  18.66 					"," 						  2.56 					"," 						  43.6 					","12.810712"
"Brendon Julian "," 						  39.93 					"," 						  3.27 					"," 						  73.2 					","31.4308995"
"Ian Johnson "," 						  29.19 					"," 						  2.17 					"," 						  80.5 					","21.5300575"
"Michael Kasprowicz "," 						  32.88 					"," 						  3.12 					"," 						  63.1 					","24.929616"
"Simon Katich "," 						  30.23 					"," 						  3.66 					"," 						  49.4 					","23.044329"
"Charles Kelleway "," 						  32.36 					"," 						  2.31 					"," 						  83.9 					","24.352518"
"Tom Kendall "," 						  15.35 					"," 						  2.29 					"," 						  40.2 					","10.1921441667"
"Lindsay Kline "," 						  22.82 					"," 						  1.96 					"," 						  69.7 					","16.0591946667"
"Jason Krejza "," 						  43.23 					"," 						  4.53 					"," 						  57.1 					","35.8138935"
"Trevor Laughlin "," 						  43.66 					"," 						  3.04 					"," 						  86.0 					","34.8988933333"
"Geoff Lawson "," 						  30.56 					"," 						  2.96 					"," 						  61.7 					","22.7997973333"
"Brett Lee "," 						  30.81 					"," 						  3.46 					"," 						  53.3 					","23.367331"
"Perker Lee "," 						  42.40 					"," 						  2.91 					"," 						  87.2 					","33.67196"
"Darren Lehmann "," 						  27.46 					"," 						  2.53 					"," 						  64.9 					","19.9739463333"
"Dennis Lillee "," 						  23.92 					"," 						  2.75 					"," 						  52.0 					","17.0888466667"
"Ray Lindwall "," 						  23.03 					"," 						  2.30 					"," 						  59.8 					","16.2077463333"
"Sam Loxton "," 						  43.62 					"," 						  2.31 					"," 						  113.2 					","35.382363"
"John Lyons "," 						  24.83 					"," 						  2.82 					"," 						  52.6 					","17.870151"
"Frank Laver "," 						  26.05 					"," 						  2.44 					"," 						  63.8 					","18.7542633333"
"Charles Macartney "," 						  27.55 					"," 						  2.08 					"," 						  79.1 					","20.0986433333"
"Stuart MacGill "," 						  29.02 					"," 						  3.22 					"," 						  54.0 					","21.6440833333"
"Ken Mackay "," 						  34.42 					"," 						  1.78 					"," 						  115.8 					","27.0346153333"
"John Maguire "," 						  32.30 					"," 						  3.14 					"," 						  61.6 					","24.4306433333"
"Arthur Mailey "," 						  33.91 					"," 						  3.29 					"," 						  61.8 					","25.9586701667"
"Ashley Mallett "," 						  29.84 					"," 						  2.36 					"," 						  75.6 					","22.0477813333"
"Mick Malone "," 						  12.83 					"," 						  1.35 					"," 						  57.0 					","8.2464825"
"Tony Mann "," 						  79.00 					"," 						  3.43 					"," 						  138.0 					","73.1605833333"
"Johnny Martin "," 						  48.94 					"," 						  2.70 					"," 						  108.5 					","40.35103"
