Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Mick Malone "," 						  12.83 					"," 						  1.35 					"," 						  57.0 					","8.743645"
"Damien Martyn "," 						  84.00 					"," 						  2.89 					"," 						  174.0 					","83.37"
"Bob Massie "," 						  20.87 					"," 						  2.23 					"," 						  56.0 					","15.099445"
"Greg Matthews "," 						  48.22 					"," 						  2.81 					"," 						  102.8 					","40.798942"
"Tim May "," 						  34.74 					"," 						  2.37 					"," 						  87.6 					","27.573138"
"Craig McDermott "," 						  28.63 					"," 						  3.01 					"," 						  56.9 					","21.881909"
"Glenn McGrath "," 						  21.64 					"," 						  2.49 					"," 						  51.9 					","15.760412"
"Graham McKenzie "," 						  29.78 					"," 						  2.48 					"," 						  71.8 					","22.859128"
"Tom Moody "," 						  73.50 					"," 						  2.04 					"," 						  216.0 					","75.999"
"Clint McKay "," 						  101.00 					"," 						  3.60 					"," 						  168.0 					","102.616"
"Marcus North "," 						  42.21 					"," 						  2.81 					"," 						  89.8 					","34.616421"
"Simon O'Donnell "," 						  84.00 					"," 						  3.21 					"," 						  156.6 					","81.7908"
"Kerry O'Keeffe "," 						  38.07 					"," 						  2.24 					"," 						  101.5 					","31.02705"
"Len Pascoe "," 						  26.06 					"," 						  2.94 					"," 						  53.1 					","19.628392"
"Ricky Ponting "," 						  55.20 					"," 						  2.82 					"," 						  117.4 					","48.34416"
"Carl Rackemann "," 						  29.15 					"," 						  2.50 					"," 						  69.7 					","22.28226"
"Bruce Reid "," 						  24.63 					"," 						  2.67 					"," 						  55.2 					","18.322257"
"Paul Reiffel "," 						  26.96 					"," 						  2.62 					"," 						  61.5 					","20.32784"
"Gavin Robertson "," 						  39.61 					"," 						  3.44 					"," 						  69.0 					","32.0841"
"Bob Simpson "," 						  42.26 					"," 						  2.61 					"," 						  96.9 					","34.834918"
"Michael Slater "," 						  10.00 					"," 						  2.40 					"," 						  25.0 					","6.7"
"Keith Stackpole "," 						  66.73 					"," 						  2.58 					"," 						  154.7 					","62.619432"
"Andrew Symonds "," 						  37.33 					"," 						  2.56 					"," 						  87.2 					","29.953592"
"Peter Siddle "," 						  29.92 					"," 						  2.92 					"," 						  61.3 					","22.996512"
"Mark Taylor "," 						  26.00 					"," 						  3.71 					"," 						  42.0 					","20.007"
"Peter Taylor "," 						  39.55 					"," 						  2.87 					"," 						  82.4 					","31.968265"
"Alan Thomson "," 						  54.50 					"," 						  2.58 					"," 						  126.5 					","48.069"
"Jeff Thomson "," 						  28.00 					"," 						  3.18 					"," 						  52.6 					","21.3976"
"Shaun Tait "," 						  60.40 					"," 						  4.37 					"," 						  82.8 					","53.39964"
"Max Walker "," 						  27.47 					"," 						  2.25 					"," 						  73.1 					","20.841489"
