Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Tom Hayward "," 						  36.71 					"," 						  3.45 					"," 						  63.7 					","28.5842415"
"Dean Headley "," 						  27.85 					"," 						  3.31 					"," 						  50.4 					","20.7171508333"
"Jack Hearne "," 						  22.08 					"," 						  2.18 					"," 						  60.7 					","15.424352"
"'Young Jack' Hearne "," 						  48.73 					"," 						  2.99 					"," 						  97.5 					","39.9301741667"
"Eddie Hemmings "," 						  42.44 					"," 						  2.46 					"," 						  103.1 					","33.939268"
"Patsy Hendren "," 						  31.00 					"," 						  3.95 					"," 						  47.0 					","24.0069166667"
"Mike Hendrick "," 						  25.83 					"," 						  2.17 					"," 						  71.3 					","18.5765055"
"Christopher Heseltine "," 						  16.80 					"," 						  3.21 					"," 						  31.4 					","11.76084"
"Graeme Hick "," 						  56.78 					"," 						  2.56 					"," 						  132.9 					","49.1222706667"
"Ken Higgs "," 						  20.74 					"," 						  2.14 					"," 						  57.9 					","14.3237353333"
"Arthur Hill "," 						  2.00 					"," 						  1.20 					"," 						  10.0 					","1.08"
"Allen Hill "," 						  18.57 					"," 						  2.29 					"," 						  48.5 					","12.6384325"
"Malcolm Hilton "," 						  34.07 					"," 						  2.30 					"," 						  88.8 					","25.9533903333"
"George Hirst "," 						  30.00 					"," 						  2.64 					"," 						  67.9 					","22.194"
"Bill Hitch "," 						  46.42 					"," 						  4.22 					"," 						  66.0 					","38.4434966667"
"Sir Jack Hobbs "," 						  165.00 					"," 						  2.63 					"," 						  376.0 					","223.64375"
"Robin Hobbs "," 						  40.08 					"," 						  2.23 					"," 						  107.5 					","31.86694"
"Matthew Hoggard "," 						  30.50 					"," 						  3.26 					"," 						  56.0 					","22.9410833333"
"Eric Hollies "," 						  30.27 					"," 						  2.24 					"," 						  80.7 					","22.462358"
"Adam Hollioake "," 						  33.50 					"," 						  2.79 					"," 						  72.0 					","25.351125"
"Ben Hollioake "," 						  49.75 					"," 						  4.73 					"," 						  63.0 					","42.3828541667"
"Errol Holmes "," 						  38.00 					"," 						  4.22 					"," 						  54.0 					","30.5583333333"
"Monkey Hornby "," 						  0.00 					"," 						  0.00 					"," 						  28.0 					","0.0"
"Martin Horton "," 						  29.50 					"," 						  1.48 					"," 						  119.0 					","22.8428333333"
"Harry Howell "," 						  79.85 					"," 						  3.65 					"," 						  131.1 					","73.8705658333"
"Dick Howorth "," 						  33.42 					"," 						  2.48 					"," 						  80.8 					","25.274432"
"Kenneth Hutchings "," 						  81.00 					"," 						  5.40 					"," 						  90.0 					","76.545"
"Sir Leonard Hutton "," 						  77.33 					"," 						  5.35 					"," 						  86.6 					","72.3254601667"
"Richard Hutton "," 						  28.55 					"," 						  2.08 					"," 						  82.0 					","20.9937666667"
"Alan Igglesden "," 						  54.83 					"," 						  3.55 					"," 						  92.5 					","46.1714291667"
"Jack Ikin "," 						  118.00 					"," 						  3.71 					"," 						  190.6 					","123.618766667"
"Richard Illingworth "," 						  32.36 					"," 						  2.48 					"," 						  78.1 					","24.2980453333"
"Ray Illingworth "," 						  31.20 					"," 						  1.91 					"," 						  97.8 					","23.61892"
"Mark Ilott "," 						  45.16 					"," 						  3.12 					"," 						  86.8 					","36.380896"
"Ronnie Irani "," 						  37.33 					"," 						  3.50 					"," 						  64.0 					","29.1982816667"
"Robin Jackman "," 						  31.78 					"," 						  2.49 					"," 						  76.4 					","23.773029"
"Stanley Jackson "," 						  33.29 					"," 						  3.02 					"," 						  66.1 					","25.2460263333"
"Les Jackson "," 						  22.14 					"," 						  1.86 					"," 						  71.1 					","15.513498"
"John Jameson "," 						  17.00 					"," 						  2.42 					"," 						  42.0 					","11.4778333333"
"Paul Jarvis "," 						  45.95 					"," 						  3.02 					"," 						  91.0 					","37.1352583333"
"Roly Jenkins "," 						  34.31 					"," 						  3.11 					"," 						  66.1 					","26.1996878333"
"Gilbert Jessop "," 						  35.40 					"," 						  2.90 					"," 						  73.2 					","27.10106"
"Richard Johnson "," 						  17.18 					"," 						  3.01 					"," 						  34.1 					","11.9191976667"
"Arthur Jones "," 						  44.33 					"," 						  3.50 					"," 						  76.0 					","35.7373683333"
"Jeff Jones "," 						  40.20 					"," 						  2.99 					"," 						  80.5 					","31.57375"
"Simon Jones "," 						  28.23 					"," 						  3.54 					"," 						  47.8 					","21.231783"
"Vallance Jupp "," 						  22.00 					"," 						  2.84 					"," 						  46.4 					","15.5862666667"
"Alex Kennedy "," 						  19.32 					"," 						  2.13 					"," 						  54.2 					","13.188798"
"Roy Kilner "," 						  30.58 					"," 						  1.85 					"," 						  98.6 					","23.0914676667"
"John King "," 						  99.00 					"," 						  3.66 					"," 						  162.0 					","97.7625"
"James Kirtley "," 						  29.52 					"," 						  3.11 					"," 						  56.7 					","21.986988"
"Barry Knight "," 						  31.75 					"," 						  2.48 					"," 						  76.8 					","23.7574666667"
"Neville Knox "," 						  35.00 					"," 						  5.00 					"," 						  42.0 					","28.8983333333"
"Jim Laker "," 						  21.24 					"," 						  2.04 					"," 						  62.3 					","14.732064"
"Allan Lamb "," 						  23.00 					"," 						  4.60 					"," 						  30.0 					","17.9016666667"
"James Langridge "," 						  21.73 					"," 						  2.30 					"," 						  56.5 					","15.1494316667"
"David Larter "," 						  25.43 					"," 						  2.59 					"," 						  58.7 					","18.2710311667"
"Harold Larwood "," 						  28.35 					"," 						  2.67 					"," 						  63.7 					","20.7848025"
"David Lawrence "," 						  37.55 					"," 						  3.72 					"," 						  60.5 					","29.5894"
"Eddie Leadbeater "," 						  109.00 					"," 						  4.52 					"," 						  144.5 					","109.290666667"
"Walter Lees "," 						  17.96 					"," 						  2.23 					"," 						  48.3 					","12.1532326667"
"Charles Leslie "," 						  11.00 					"," 						  2.75 					"," 						  24.0 					","7.24258333333"
"John Lever "," 						  26.72 					"," 						  2.64 					"," 						  60.7 					","19.382688"
"Peter Lever "," 						  36.80 					"," 						  2.53 					"," 						  87.0 					","28.3942666667"
"Chris Lewis "," 						  37.52 					"," 						  3.05 					"," 						  73.6 					","29.0823773333"
"Jon Lewis "," 						  40.66 					"," 						  2.97 					"," 						  82.0 					","32.009585"
"Maurice Leyland "," 						  97.50 					"," 						  3.18 					"," 						  183.8 					","97.80225"
"Dick Lilley "," 						  23.00 					"," 						  5.52 					"," 						  25.0 					","18.906"
"James Lillywhite (jnr) "," 						  15.75 					"," 						  2.22 					"," 						  42.5 					","10.465875"
"Peter Loader "," 						  22.51 					"," 						  1.97 					"," 						  68.2 					","15.7866381667"
"Bill Lockwood "," 						  20.53 					"," 						  2.68 					"," 						  45.8 					","14.3285713333"
"Tony Lock "," 						  25.58 					"," 						  2.03 					"," 						  75.5 					","18.4026783333"
"George Lohmann "," 						  10.75 					"," 						  1.88 					"," 						  34.1 					","6.74956666667"
"Brian Luckhurst "," 						  32.00 					"," 						  3.36 					"," 						  57.0 					","24.32"
"Alfred Lyttelton "," 						  4.75 					"," 						  2.37 					"," 						  12.0 					","2.9081875"
"George Macaulay "," 						  27.58 					"," 						  2.33 					"," 						  70.8 					","20.0649096667"
"Devon Malcolm "," 						  37.09 					"," 						  3.35 					"," 						  66.2 					","28.8492201667"
"Neil Mallender "," 						  21.50 					"," 						  2.87 					"," 						  44.9 					","15.2051583333"
"Vic Marks "," 						  44.00 					"," 						  2.68 					"," 						  98.3 					","35.3290666667"
"Charles Marriott "," 						  8.72 					"," 						  2.33 					"," 						  22.4 					","5.49984933333"
"Fred Martin "," 						  10.07 					"," 						  2.06 					"," 						  29.2 					","6.32966633333"
"Jack Martin "," 						  129.00 					"," 						  2.86 					"," 						  270.0 					","149.2315"
"Peter Martin "," 						  34.11 					"," 						  2.39 					"," 						  85.4 					","25.9309905"
"Jack Mason "," 						  74.50 					"," 						  2.75 					"," 						  162.0 					","69.6140416667"
"Austin Matthews "," 						  32.50 					"," 						  2.16 					"," 						  90.0 					","24.57"
"Martin McCague "," 						  65.00 					"," 						  3.94 					"," 						  98.8 					","57.0331666667"
"Jim McConnon "," 						  18.50 					"," 						  2.05 					"," 						  54.0 					","12.5352916667"
"Anthony McGrath "," 						  14.00 					"," 						  3.29 					"," 						  25.5 					","9.70083333333"
"Walter Mead "," 						  91.00 					"," 						  2.06 					"," 						  265.0 					","100.115166667"
"Geoff Miller "," 						  30.98 					"," 						  2.16 					"," 						  85.8 					","23.160648"
"Tommy Mitchell "," 						  62.25 					"," 						  3.34 					"," 						  111.7 					","54.047525"
"Arthur Mold "," 						  33.42 					"," 						  2.85 					"," 						  70.1 					","25.280559"
"Fred Morley "," 						  18.50 					"," 						  1.82 					"," 						  60.7 					","12.5349833333"
"John Mortimore "," 						  56.38 					"," 						  2.03 					"," 						  166.3 					","50.7993196667"
"Alan Moss "," 						  29.80 					"," 						  2.26 					"," 						  78.9 					","22.0410733333"
"Alan Mullally "," 						  31.24 					"," 						  2.40 					"," 						  78.0 					","23.30504"
"Tim Munton "," 						  50.00 					"," 						  2.96 					"," 						  101.2 					","41.2533333333"
"Sajid Mahmood "," 						  38.10 					"," 						  4.04 					"," 						  56.5 					","30.4292"
"Phil Newport "," 						  41.70 					"," 						  3.73 					"," 						  66.9 					","33.417685"
"Stan Nichols "," 						  28.09 					"," 						  2.69 					"," 						  62.5 					","20.5595391667"
"Jack O'Connor "," 						  72.00 					"," 						  2.66 					"," 						  162.0 					","66.9"
"Chris Old "," 						  28.11 					"," 						  2.72 					"," 						  61.9 					","20.589638"
"Jimmy Ormond "," 						  92.50 					"," 						  2.98 					"," 						  186.0 					","92.1145833333"
"Graham Onions "," 						  29.90 					"," 						  3.57 					"," 						  50.1 					","22.677655"
"George Paine "," 						  27.47 					"," 						  2.68 					"," 						  61.4 					","20.0292926667"
"Ken Palmer "," 						  189.00 					"," 						  3.00 					"," 						  378.0 					","261.009"
"Peter Parfitt "," 						  47.83 					"," 						  2.59 					"," 						  110.5 					","39.3202458333"
"Charlie Parker "," 						  16.00 					"," 						  1.14 					"," 						  84.0 					","10.952"
"Ciss Parkin "," 						  35.25 					"," 						  3.23 					"," 						  65.4 					","27.1148875"
"Jim Parks "," 						  12.00 					"," 						  1.71 					"," 						  42.0 					","7.605"
"Jim Parks "," 						  51.00 					"," 						  5.66 					"," 						  54.0 					","45.2965"
"Min Patel "," 						  180.00 					"," 						  3.91 					"," 						  276.0 					","221.415"
