Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Charles Studd "," 						  32.66 					"," 						  1.53 					"," 						  128.0 					","25.972865"
"Peter Such "," 						  33.56 					"," 						  2.38 					"," 						  84.4 					","25.4261746667"
"Graeme Swann "," 						  29.96 					"," 						  2.98 					"," 						  60.1 					","22.2912386667"
"Steven Finn "," 						  30.40 					"," 						  3.55 					"," 						  51.2 					","23.0882933333"
"Liam Dawson "," 						  42.57 					"," 						  3.39 					"," 						  75.1 					","33.9687315"
"Ajmal Shahzad "," 						  15.75 					"," 						  3.70 					"," 						  25.5 					","11.290125"
"Fred Tate "," 						  25.50 					"," 						  3.18 					"," 						  48.0 					","18.65325"
"Maurice Tate "," 						  26.16 					"," 						  1.94 					"," 						  80.7 					","18.954664"
"Roy Tattersall "," 						  26.08 					"," 						  2.14 					"," 						  72.8 					","18.7889013333"
"Paul Taylor "," 						  52.00 					"," 						  3.25 					"," 						  96.0 					","43.2423333333"
"Les Taylor "," 						  44.50 					"," 						  2.80 					"," 						  95.2 					","35.7661333333"
"Greg Thomas "," 						  50.40 					"," 						  3.90 					"," 						  77.4 					","41.94792"
"George Thompson "," 						  27.73 					"," 						  2.80 					"," 						  59.4 					","20.3020573333"
"Ian Thomson "," 						  63.11 					"," 						  2.29 					"," 						  165.3 					","57.6941101667"
"Fred Titmus "," 						  32.22 					"," 						  1.95 					"," 						  98.8 					","24.530697"
"Charlie Townsend "," 						  25.00 					"," 						  3.21 					"," 						  46.6 					","18.26125"
"Leslie Townsend "," 						  34.16 					"," 						  3.08 					"," 						  66.5 					","26.0526933333"
"Maurice Tremlett "," 						  56.50 					"," 						  2.75 					"," 						  123.0 					","48.3875416667"
"Marcus Trescothick "," 						  155.00 					"," 						  3.10 					"," 						  300.0 					","190.779166667"
"Albert Trott "," 						  15.00 					"," 						  2.46 					"," 						  36.4 					","9.9945"
"Fred Trueman "," 						  21.57 					"," 						  2.61 					"," 						  49.4 					","15.1216485"
"Alex Tudor "," 						  34.39 					"," 						  3.82 					"," 						  54.0 					","26.8528583333"
"Phil Tufnell "," 						  37.68 					"," 						  2.42 					"," 						  93.2 					","29.298712"
"Dick Tyldesley "," 						  32.57 					"," 						  2.29 					"," 						  85.0 					","24.5442091667"
"Ted Tyler "," 						  16.25 					"," 						  2.68 					"," 						  36.2 					","11.0294166667"
"Frank Tyson "," 						  18.56 					"," 						  2.45 					"," 						  45.4 					","12.6897813333"
"James Tredwell "," 						  29.18 					"," 						  2.45 					"," 						  71.4 					","21.4682123333"
"Chris Tremlett "," 						  27.00 					"," 						  2.95 					"," 						  54.7 					","19.75005"
"Shaun Udal "," 						  43.00 					"," 						  3.46 					"," 						  74.5 					","34.4358333333"
"George Ulyett "," 						  20.40 					"," 						  2.32 					"," 						  52.5 					","14.0828"
"Derek Underwood "," 						  25.83 					"," 						  2.10 					"," 						  73.6 					","18.589851"
"Michael Vaughan "," 						  93.50 					"," 						  3.44 					"," 						  163.0 					","91.3183333333"
"Hedley Verity "," 						  24.37 					"," 						  1.88 					"," 						  77.5 					","17.4164266667"
"Bill Voce "," 						  27.88 					"," 						  2.57 					"," 						  64.8 					","20.3389246667"
"Abe Waddington "," 						  119.00 					"," 						  2.58 					"," 						  276.0 					","137.1475"
"Johnny Wardle "," 						  20.39 					"," 						  1.89 					"," 						  64.6 					","14.0578855"
"Alan Ward "," 						  32.35 					"," 						  3.57 					"," 						  54.3 					","24.8075975"
"Arnold Warren "," 						  18.83 					"," 						  2.87 					"," 						  39.3 					","13.1059938333"
"John Warr "," 						  281.00 					"," 						  2.88 					"," 						  584.0 					","501.866"
"Cyril Washbrook "," 						  33.00 					"," 						  5.50 					"," 						  36.0 					","27.8135"
"Mike Watkinson "," 						  34.80 					"," 						  3.10 					"," 						  67.2 					","26.63012"
"Allan Watkins "," 						  50.36 					"," 						  2.43 					"," 						  124.0 					","42.28981"
"Steve Watkin "," 						  27.72 					"," 						  3.42 					"," 						  48.5 					","20.69298"
"Arthur Wellard "," 						  33.85 					"," 						  3.11 					"," 						  65.1 					","25.7807241667"
"Craig White "," 						  37.62 					"," 						  3.36 					"," 						  67.1 					","29.351124"
"Butch White "," 						  29.75 					"," 						  3.24 					"," 						  55.0 					","22.28275"
"Jack White "," 						  32.26 					"," 						  1.97 					"," 						  97.9 					","24.5407196667"
"Len Wilkinson "," 						  38.71 					"," 						  2.83 					"," 						  81.8 					","30.1428318333"
"Peter Willey "," 						  65.14 					"," 						  2.50 					"," 						  155.8 					","59.1102073333"
"Neil Williams "," 						  74.00 					"," 						  3.60 					"," 						  123.0 					","67.044"
"Bob Willis "," 						  25.20 					"," 						  2.83 					"," 						  53.4 					","18.19146"
