Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Jayantha Silva "," 						  32.35 					"," 						  2.53 					"," 						  76.6 					","25.223295"
"Chamara Silva "," 						  65.00 					"," 						  3.82 					"," 						  102.0 					","58.175"
"Suraj Randiv "," 						  37.51 					"," 						  3.07 					"," 						  73.1 					","29.996747"
"Eric Upashantha "," 						  50.00 					"," 						  3.92 					"," 						  76.5 					","42.45"
"Chaminda Vaas "," 						  29.58 					"," 						  2.68 					"," 						  66.0 					","22.65828"
"Jayananda Warnaweera "," 						  31.90 					"," 						  2.62 					"," 						  72.9 					","24.77992"
"Pramodya Wickramasinghe "," 						  41.87 					"," 						  2.94 					"," 						  85.4 					","34.241286"
"Kapila Wijegunawardene "," 						  21.00 					"," 						  2.42 					"," 						  52.0 					","15.225"
"Roger Wijesuriya "," 						  294.00 					"," 						  3.01 					"," 						  586.0 					","535.815"
"Chanaka Welegedara "," 						  41.32 					"," 						  3.58 					"," 						  69.0 					","33.75844"
"Nuwan Zoysa "," 						  33.70 					"," 						  2.92 					"," 						  69.0 					","26.4208"
"Dushmantha Chameera "," 						  33.00 					"," 						  4.20 					"," 						  47.1 					","26.5386"
"Akila Dananjaya "," 						  5.50 					"," 						  2.93 					"," 						  11.2 					","3.67895"
"Kusal Mendis "," 						  43.00 					"," 						  3.58 					"," 						  72.0 					","35.389"
"Lahiru Kumara "," 						  49.43 					"," 						  4.30 					"," 						  68.8 					","42.144018"
