Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Roger Twose "," 						  43.33 					"," 						  3.69 					"," 						  70.3 					","34.9174805"
"Ross Taylor "," 						  24.00 					"," 						  3.00 					"," 						  48.0 					","17.304"
"Justin Vaughan "," 						  40.90 					"," 						  2.59 					"," 						  94.5 					","32.3144083333"
"Daniel Vettori "," 						  34.36 					"," 						  2.59 					"," 						  79.5 					","26.1164633333"
"Graham Vivian "," 						  107.00 					"," 						  3.24 					"," 						  198.0 					","110.745"
"Giff Vivian "," 						  37.23 					"," 						  2.89 					"," 						  77.1 					","28.7707235"
"Brooke Walker "," 						  79.80 					"," 						  3.57 					"," 						  133.8 					","73.88283"
"Kerry Walmsley "," 						  43.44 					"," 						  3.03 					"," 						  86.0 					","34.6977"
"Willie Watson "," 						  34.67 					"," 						  2.38 					"," 						  87.1 					","26.4543656667"
"Murray Webb "," 						  117.75 					"," 						  3.86 					"," 						  183.0 					","122.597375"
"'Dad' Weir "," 						  29.85 					"," 						  3.66 					"," 						  48.8 					","22.718835"
"Paul Wiseman "," 						  47.59 					"," 						  3.07 					"," 						  92.7 					","38.7612618333"
"Bryan Yuile "," 						  35.67 					"," 						  2.51 					"," 						  85.2 					","27.3523505"
"Dean Brownlie "," 						  52.00 					"," 						  4.72 					"," 						  66.0 					","44.5813333333"
"Grant Elliott "," 						  35.00 					"," 						  2.97 					"," 						  70.5 					","26.74875"
"Mark Craig "," 						  46.52 					"," 						  3.80 					"," 						  73.3 					","38.0657653333"
"Mitchell Santner "," 						  37.05 					"," 						  2.79 					"," 						  79.4 					","28.5859275"
"Matt Henry "," 						  46.52 					"," 						  3.23 					"," 						  86.2 					","37.7191913333"
"Colin de Grandhomme "," 						  28.10 					"," 						  2.47 					"," 						  68.0 					","20.5153416667"
"Ish Sodhi "," 						  46.68 					"," 						  3.76 					"," 						  74.3 					","38.181128"
